A	TRACTO ALIMENTARIO Y METABOLISMO
C03CC01	ÁCIDO ETACRÍNICO
C03CC02	ÁCIDO TIENÍLICO
C03CD	DERIVADOS DE LA PIRAZOLONA
C03CD01	MUZOLIMINA
C03CX	OTROS DIURÉTICOS DE TECHO ALTO
C03CX01	ETOZOLINA
C03D	AHORRADORES DE POTASIO
C03DA	ANTAGONISTAS DE LA ALDOSTERONA
C03DA01	ESPIRONOLACTONA
C03DA02	CANRENONATO POTÁSICO
C03DA03	CANRENONA
C03DA04	EPLERENONA
C03DB	OTROS AGENTES AHORRADORES DE POTASIO
C03DB01	AMILORIDE
C03DB02	TRIAMTERENE
C03E	DIURÉTICOS Y AGENTES AHORRADORES DE POTASIO EN ASOCIACIÓN
C03EA	DIURÉTICOS DE TECHO BAJO Y AGENTES AHORRADORES DE POTASIO
C03EA01	HIDROCLOROTIAZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA02	TRICLORMETIAZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA03	EPITIZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA04	ALTIZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA05	MEBUTIZIDE Y AGENTES AHORRADORES DE POTASIO
C03EA06	CLORTALIDONA Y AGENTES AHORRADORES DE POTASIO
C03EA07	CICLOPENTIAZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA12	METOLAZONA Y AGENTES AHORRADORES DE POTASIO
C03EA13	BENDROFLUMETIAZIDA Y AGENTES AHORRADORES DE POTASIO
C03EA14	BUTIZIDE Y AGENTES AHORRADORES DE POTASIO
C03EB	DIURÉTICOS DE TECHO ALTO Y AGENTES AHORRADORES DE POTASIO
C03EB01	FUROSEMIDA Y AGENTES AHORRADORES DE POTASIO
C03EB02	BUMETANIDA Y AGENTES AHORRADORES DE POTASIO
C04	VASODILATADORES PERIFÉRICOS
C04A	VASODILATADORES PERIFÉRICOS
C04AA	DERIVADOS DEL 2-AMINO-1-FENILETANOL
C04AA01	ISOSUPRINA
C04AA02	BUFENINA
C04AA31	BAMEFÁN
C04AB	DERIVADOS DE LA IMIZADOLINA
C04AB01	FENTOLAMINA
C04AB02	TOLAZOLINA
C04AC	ÁCIDO NICOTÍNICO Y DERIVADOS
C04AC01	NICOTINA (ÁCIDO NICOTÍNICO )
C04AC02	ALCOHOL NICOTÍNICO (PIRIDILCARBINOL)
C04AC03	NICOTINATO DE INOSITOL
C04AC07	CICLONICOTINATO
C04AD	DERIVADOS DE LA PURINA
C04AD01	PENTOFILINA
C04AD02	NICOTINATO XANTINOL
C04AD03	PENTOXIFILINA
C04AD04	NICOTINATO DE ETOFILINA
C04AE	ALCALOIDES DEL ERGOT
C04AE01	ERGOLOIDE MESILATO
C04AE02	NICERGOLINA
C04AE04	DIHIDROERGOCRISTINA
C04AE51	ERGOLOIDE MESILATO, COMBINACIONES
C04AE54	DIHIDROERGOCRISTINA, COMBINACIONES
C04AF	ENZIMAS6
C04AF01	CALIDINOGENASA
C04AX	OTROS VASODILATADORES PERIFÉRICOS
C04AX01	CYCLANDELATO
C04AX02	FENOXIBENZAMINA
C04AX07	VINCAMINA
C04AX10	MOXISILITO
C04AX11	BENCICLANE
C04AX17	VINBURNINA
C04AX19	SULCOTIDIL
C04AX20	BUFLOMEDIL
C04AX21	NAFTIDROFURIL
C04AX23	BUTALAMINA
C04AX24	VISNADINA
C04AX26	CETIEDIL
C04AX27	CINEPAZIDA
C04AX28	IFENPRODIL
C04AX30	AZAPETINA
C04AX32	FASUDIL
C04AX33	CILOSTAZOL
C05	VASOPROTECTORES
C05A	ANTIHEMORROIDALES DE USO TÓPICO
C05AA	PRODUCTOS QUE CONTIENEN CORTICOESTEROIDES
C05AA01	HIDROCORTISONA
C05AA04	PREDNISOLONA
C05AA05	BETAMETASONA
C05AA06	FLUOROMETOLONA
C05AA08	FLUOROCORTOLONA
C05AA09	DEXAMETASONA
C05AA10	ACETÓNIDO DE FLUOCINOLONA
C05AA11	FLUOCINÓNIDO
C05AB	PRODUCTOS QUE CONTIENEN ANTIBIÓTICOS
C05AD	PRODUCTOS QUE CONTIENEN ANESTÉSICOS LOCALES
C05AD01	LIDOCAÍNA
C05AD02	TETRACAÍNA
C05AD03	BENZOCAÍNA
C05AD04	CINCOCAÍNA
C05AD05	PROCAÍNA
C05AD06	OXITACAÍNA
C05AD07	PRAMOCAÍNA
C05AE	RELAJANTES MUSCULARES
C05AE01	TRINITRATO DE GLICERILO
C05AX	OTROS ANTIHEMORROIDALES PARA USO TÓPICO
C05AX01	PREPARACIONES DE ALUMINIO
C05AX02	PREPARACIONES DE BISMUTO, COMBINACIONES
C05AX03	OTRAS PREPARACIONES, COMBINACIONES
C05AX04	PREPARACIONES DE ZINC
C05AX05	TRIBENÓSIDO
C05B	TERAPIA ANTIVARICOSA
C05BA	HEPARINAS O HEPARINOIDES PARA USO TÓPICO
C05BA01	ORGANO-HEPARINOIDES
C05BA02	APOLATO SÓDICO
C05BA03	HEPARINA
C05BA04	PENTOSAN POLISULFATO SÓDICO
C05BA51	HEPARINOIDES, COMBINACIONES
C05BA53	HEPARINA, COMBINACIONES
C05BB	AGENTES ESCLEROSANTES PARA INYECCIÓN LOCAL
C05BB01	OLEATO DE MONOETANOLAMINA
C05BB02	POLIDOCANOL
C05BB03	INVERT SUGAR
C05BB04	TETRADECIL SULFATO SÓDICO
C05BB05	FENOL
C05BB56	GLUCOSA, COMBINACIONES
C05BX	OTROS AGENTES ESCLEROSANTES
C05BX01	DOBESILATO CÁLCICO
C05BX51	DOBESILATO CÁLCICO, COMBINACIONES
C05C	AGENTES ESTABILIZADORES DE CAPILARES
C05CA	BIOFLAVONOIDES
C05CA01	RUTÓSIDO
C05CA02	MONOXERUTINA
C05CA03	DIOSMINA
C05CA04	TROXERUTINA
C05CA05	HIDROSMINA
C05CA51	RUTOSIDO, COMBINACIONES
C05CA53	DIOSMINA, COMBINACIONES
C05CA54	TROXERUTINA, COMBINACIONES
C05CX	OTROS AGENTES ESTABILIZADORES DE CAPILARES
C05CX01	TRIBENÓSIDO
C07	BETABLOQUEANTES
C07A	AGENTES BETA-BLOQUEANTES
C07AA	AGENTES BETA- BLOQUEANTES NO SELECTIVOS
C07AA01	ALPRENOLOL
C07AA02	OXPRENOLOL
C07AA03	PINDOLOL
C07AA05	PROPRANOLOL
C07AA06	TIMOLOL
C07AA07	SOTALOL
C07AA12	NADOLOL
C07AA14	MEPINDOLOL
C07AA15	CARTEOLOL
C07AA16	TERTATOLOL
C07AA17	BOPINDOLOL
C07AA19	BUPRANOLOL
C07AA23	PENBUTOLOL
C07AA27	CLORANOLOL
C07AA57	SOTALOL, COMBINACIONES
C07AB	AGENTES BETA-BLOQUEANTES SELECTIVOS
C07AB01	PRACTOLOL
C07AB02	METOPROLOL
C07AB03	ATENOLOL
C07AB04	ACEBUTOLOL
C07AB05	BETAXOLOL
C07AB06	BEVANTOLOL
C07AB07	BISOPROLOL
C07AB08	CELIPROLOL
C07AB09	ESMOLOL
C07AB10	EPANOLOL
C07AB11	S-ATENOLOL
C07AB12	NEBIVOLOL
C07AB13	TALINOLOL
C07AB52	METOPROLOL, COMBINACIONES
C07AG	AGENTES BLOQUEANTES ALFA Y BETA
C07AG01	LABETALOL
C07AG02	CARVEDILOL
C07B	AGENTES BETA-BLOQUEANTES Y TIAZIDAS
C07BA	AGENTES BETA-BLOQUEANTES NO SELECTIVOS Y TIAZIDAS
C07BA02	OXPRENOLOL Y TIAZIDAS
C07BA05	PROPRANOLOL Y TIAZIDAS
C07BA06	TIMOLOL Y TIAZIDAS
C07BA07	SOTALOL Y TIAZIDAS
C07BA12	NADOLOL Y TIAZIDAS
C07BA68	METIPRANOLOL Y TIAZIDAS, COMBINACIONES
C07BB	AGENTES BETA-BLOQUEANTES SELECTIVOS Y TIAZIDAS
C07BB02	METOPROLOL Y TIAZIDAS
C07BB03	ATENOLOL Y TIAZIDAS
C07BB04	ACEBUTOLOL Y TIAZIDAS
C07BB06	BEVANTOLOL Y TIAZIDAS
C07BB07	BISOPROLOL Y TIAZIDAS
C07BB52	METOPROLOL Y TIAZIDAS, COMBINACIONES
C07BG	AGENTES BLOQUEANTES ALFA Y BETA Y TIAZIDAS
C07BG01	LABETALOL Y TIAZIDAS
C07C	AGENTES BETA-BLOQUEANTES Y OTROS DIURÉTICOS
C07CA	AGENTES BETA- BLOQUEANTES NO SELECTIVOS Y OTROS DIURÉTICOS
C07CA02	OXPRENOLOL Y OTROS DIURÉTICOS
C07CA03	PINDOLOL Y OTROS DIURÉTICOS
C07CA17	BOPINDOLOL Y OTROS DIURÉTICOS
C07CA23	PENBUTOLOL Y OTROS DIURÉTICOS
C07CB	AGENTES BETA-BLOQUEANTES SELECTIVOS Y OTROS DIURÉTICOS
C07CB02	METOPROLOL Y OTROS DIURÉTICOS
C07CB03	ATENOLOL Y OTROS DIURÉTICOS
C07CB53	ATENOLOL Y OTROS DIURÉTICOS, COMBINACIONES
C07CG	AGENTES BLOQUEANTES ALFA Y BETA Y OTROS DIURÉTICOS
C07CG01	LABETALOL Y OTROS DIURÉTICOS
C07D	AGENTES BETA-BLOQUEANTES, TIAZIDAS Y OTROS DIURÉTICOS
C07DA	AGENTES BETA-BLOQUEANTES NO SELECTIVOS, TIAZIDAS Y OTROS DIURÉTICOS
C07DA06	TIMOLOL, TIAZIDAS Y OTROS DIURÉTICOS
C07DB	AGENTES BETA-BLOQUEANTES SELECTIVOS, TIAZIDAS Y OTROS DIURÉTICOS
C07DB01	ATENOLOL, TIAZIDAS Y OTROS DIURÉTICOS
C07E	AGENTES BETA-BLOQUEANTES Y VASODILATADORES
C07EA	AGENTES BETA BLOQUEANTES NO SELECTIVOS Y VASODILATADORES
C07EB	AGENTES BETA BLOQUEANTES SELECTIVOS Y VASODILATADORES
C07F	AGENTES BETA-BLOQUEANTES Y OTROS ANTIHIPERTENSIVOS
C07FA	AGENTES BETA-BLOQUEANTES NO SELECTIVOS Y OTROS ANTIHIPERTENSIVOS
C07FA05	PROPRANOLOL Y OTROS ANTIHIPERTENSIVOS
C07FB	AGENTES BETA-BLOQUEANTES SELECTIVOS Y OTROS ANIHIPERTENSIVOS
C07FB02	METOPROLOL Y OTROS ANTIHIPERTENSIVOS
C07FB03	ATENOLOL Y OTROS ANTIHIPERTENSIVOS
C08	BLOQUEANTES DEL CANAL DE CALCIO
C08C	BLOQUEANTES SELECTIVOS DE CANALES DE CALCIO CON EFECTOS PRINCIPALMENTE VASCULARES
C08CA	DERIVADOS DE LA DIHIDROPIRIDINA
C08CA01	AMLODIPINO
C08CA02	FELODIPINO
C08CA03	ISRADIPINO
C08CA04	NICARDIPINO
C08CA05	NIFEDIPINO
C08CA06	NIMODIPINO
C08CA07	NISOLDIPINO
C08CA08	NITRENDIPINO
C08CA09	LACIDIPINO
C08CA10	NILVADIPINO
C08CA11	MANIDIPINO
C08CA12	BARNIDIPINO
C08CA13	LERCANIDIPINO
C08CA14	CILNIDIPINO
C08CA15	BENIDIPINO
C08CA55	NIFEDIPINO, COMBINACIONES
C08CX	OTROS BLOQUEANTES SELECTIVOS DE LOS CANALES DE CALCIO CON EFECTOS PRINCIPALMENTE VASCULARES
C08CX01	MIBEFRADIL
C08D	BLOQUEANTES SELECTIVOS DE CANALES DE CALCIO CON EFECTOS CARDÍACOS DIRECTOS
C08DA	DERIVADOS DE LAS FENILALQUILAMINAS
C08DA01	VERAPAMILO
C08DA02	GALOPAMILO
C08DA51	VERAPAMILO, COMBINACIONES
C08DB	DERIVADOS DE LA BENZOTIAZEPINA
C08DB01	DILTIAZEM
C08E	BLOQUEANTES NO SELECTIVOS DE CANALES DE CALCIO
C08EA	DERIVADOS DE LA FENILALQUILAMINA
C08EA01	FENDILINE
C08EA02	BEPRIDIL
C08EX	OTROS BLOQUEANTES NO SELECTIVOS DE CANALES DE CALCIO
C08EX01	LIDOFLAZINA
C08EX02	PERHEXILINA
C08G	BLOQUEANTES DE CANALES DE CALCIO Y DIURÉTICOS
C08GA	BLOQUEANTES DE LOS CANALES DE CALCIO Y DIURÉTICOS
C08GA01	NIFEDIPINO Y DIURÉTICOS
C09	AGENTES ACTIVOS SOBRE EL SISTEMA RENINA
C09A	INHIBIDORES DE LA ECA, MONODROGAS
C09AA	INHIBIDORES DE LA ECA, MONODROGAS
C09AA01	CAPTOPRIL
C09AA02	ENALAPRIL
C09AA03	LISINOPRIL
C09AA04	PERINDOPRIL
C09AA05	RAMIPRIL
C09AA06	QUINAPRIL
C09AA07	BENAZEPRIL
C09AA08	CILAZAPRIL
C09AA09	FOSINOPRIL
C09AA10	TRANDOLAPRIL
C09AA11	SPIRAPRIL
C09AA12	DELAPRIL
C09AA13	MOEXIPRIL
C09AA14	TEMOCAPRIL
C09AA15	ZOFENOPRIL
C09AA16	IMIDAPRIL
C09B	INHIBIDORES DE LA ECA, COMBINACIONES
C09BA	INHIBIDORES DE LA ECA Y DIURÉTICOS
C09BA01	CAPTOPRIL Y DIURÉTICOS
C09BA02	ENALAPRIL Y DIURÉTICOS
C09BA03	LISINOPRIL Y DIURÉTICOS
C09BA04	PERINDOPRIL Y DIURÉTICOS
C09BA05	RAMIPRIL Y DIURÉTICOS
C09BA06	QUINAPRIL Y DIURÉTICOS
C09BA07	BENAZEPRIL Y DIURÉTICOS
C09BA08	CILAZAPRIL Y DIURÉTICOS
C09BA09	FOSINOPRIL Y DIURÉTICOS
C09BA12	DELAPRIL Y DIURÉTICOS
C09BA13	MOEXIPRIL Y DIURÉTICOS
C09BA15	ZOFENOPRIL Y DIURÉTICOS
C09BB	INHIBIDORES DE LA ECA Y BLOQUEANTES DE LOS CANALES DE CALCIO
C09BB02	ENALAPRIL Y LERCANIDIPINO
C09BB05	RAMIPRIL Y CALCIOANTAGONISTAS
C09BB10	TRANDOLAPRIL Y CALCIOANTAGONISTAS
C09BB12	DELAPRIL Y CALCIOANTAGONISTAS
C09C	ANTAGONISTAS DE ANGIOTENSINA II, MONODROGAS
C09CA	ANTAGONISTAS DE ANGIOTENSINA II, MONODROGAS
C09CA01	LOSARTÁN
C09CA02	EPROSARTÁN
C09CA03	VALSARTÁN
C09CA04	IRBESARTÁN
C09CA05	TASOSARTÁN
C09CA06	CANDESARTÁN
C09CA07	TELMISARTÁN
C09CA08	OLMESARTÁN, MEDOXOMIL
C09D	ANTAGONISTAS DE ANGIOTENSINA II, COMBINACIONES
C09DA	ANTAGONISTAS DE ANGIOTENSINA II Y DIURÉTICOS
C09DA01	LOSARTAN Y DIURÉTICOS
C09DA02	EPROSARTAN Y DIURÉTICOS
C09DA03	VALSARTAN Y DIURÉTICOS
C09DA04	IRBESARTAN Y DIURÉTICOS
C09DA06	CANDESARTAN Y DIURÉTICOS
C09DA07	TELMISARTAN Y DIURÉTICOS
C09DA08	OLMESARTAN MEDOXOMIL Y DIURÉTICOS
C09DB	ANTAGONISTAS DE LA ANGIOTENSINA II Y BLOQUEANTES DE LOS CANALES DEL CALCIO
C09DB01	AMLODIPINO Y VALSARTÁN
C09DB02	OLMESARTÁN MEDOXOMILO Y AMLODIPINO
C09DX	ANTAGONISTAS DE LA ANGIOTENSINA II
C09DX01	VALSARTÁN
C09X	OTROS AGENTES QUE ACTÚAN SOBRE EL SISTEMA RENINA-ANGIOTENSINA
C09XA	INHIBIDORES DE LA RENINA
C09XA01	REMIKIREN
C09XA02	ALISKIREN
C09XA52	ALISKIREN E HIDROCLOROTIAZIDA
C10	AGENTES MODIFICADORES DE LOS LÍPIDOS
C10A	REDUCTORES DEL COLESTEROL Y LOS TRIGLICÉRIDOS
C10AA	INHIBIDORES DE LA HMG COA REDUCTASA
C10AA01	SIMVASTATINA
C10AA02	LOVASTATINA
C10AA03	PRAVASTATINA
C10AA04	FLUVASTATINA
C10AA05	ATORVASTATINA
C10AA06	CERIVASTATINA
C10AA07	ROSUVASTATINA
C10AA08	PITAVASTATINA
C10AB	FIBRATOS2
C10AB01	CLOFIBRATO
C10AB02	BEZAFIBRATO
C10AB03	CLOFIBRATO DE ALUMINIO
C10AB04	GEMFIBROZIL
C10AB05	FENOFIBRATO
C10AB06	SIMFIBRATO
C10AB07	RONIFIBRATO
C10AB08	CIPROFIBRATO
C10AB09	ETOFIBRATO
C10AB10	CLOFIBRIDE
C10AC	SECUESTRADORES DE ÁCIDOS BILIARES
C10AC01	COLESTIRAMINA
C10AC02	COLESTIPOL
C10AC03	COLEXTRAN
C10AC04	COLESEVELAM
C10AD	ÁCIDO NICOTÍNICO Y DERIVADOS
C10AD01	NICERITROL
C10AD02	NICOTINA (ÁCIDO NICOTÍNICO)
C10AD03	NICOFURANOSA
C10AD04	NICOTINATO DE ALUMINIO
C10AD05	ALCOHOL NICOTÍNICO (PIRIDILCARBINOL)
C10AD06	ACIPIMOX
C10AD52	ÁCIDO NICOTÍNICO
C10AX	OTROS AGENTES REDUCTORES DEL COLESTEROL Y LOS TRIGLICÉRIDOS
C10AX01	DEXTROTIROXINA
C10AX02	PROBUCOL
C10AX03	TIADENOL
C10AX04	BENFLUOREX
C10AX05	MEGLUTOL
C10AX06	OMEGA-3-TRIGLICÉRIDOS
C10AX07	PIRIDOXAL, 5-FOSFOGLUTAMATO DE MAGNESIO
C10AX08	POLICOSANOL
C10AX09	EZETIMIBA
C10B	MODIFICADORES DE LÍPIDOS
C10BA	INHIBIDORES DE LA HMG COA REDUCTASA CON OTROS AGENTES MODIFICADORES DE LÍPIDOS
C10BA02	EZETIMIBA Y SIMVASTATINA
C10BX	INHIBIDORES DE LA HMG COA REDUCTASA
C10BX03	ATORVASTATINA Y AMLODIPINO
D	DERMATOLÓGICOS
D01	ANTIFÚNGICOS PARA USO DERMATOLÓGICO
D01A	ANTIFÚNGICOS PARA USO DERMATOLÓGICO TÓPICO
D01AA	ANTIBIÓTICOS
D01AA01	NISTATINA
D01AA02	NATAMICINA
D01AA03	HACHYMICINA (O TRICOMICINA)
D01AA04	PECILOCÍN
D01AA06	MEPARTRICÍN
D01AA07	PYRROLNITRÍN
D01AA08	GRISEOFULVINA
D01AA20	COMBINACIONES
D01AC	DERIVADOS IMIDAZÓLICOS Y TRIAZÓLICOS
D01AC01	CLOTRIMAZOL
D01AC02	MICONAZOL
D01AC03	ECONAZOL
D01AC04	CLORMIDAZOL
D01AC05	ISOCONAZOL
D01AC06	TIABENDAZOL
D01AC07	TIOCONAZOL
D01AC08	KETOCONAZOL
D01AC09	SULCONAZOL
D01AC10	BIFONAZOL
D01AC11	OXICONAZOL
D01AC12	FENTICONAZOL
D01AC13	OMOCONAZOL
D01AC14	SERTACONAZOL
D01AC15	FLUCONAZOL
D01AC16	FLUTRIMAZOL
D01AC20	COMBINACIONES
D01AC52	MICONAZOL, COMBINACIONES
D01AC60	BIFONAZOL, COMBINACIONES
D01AE	OTROS
D01AE01	BROMOCLOROSALICILANILIDA
D01AE02	METILROSANILINA
D01AE03	TRIBROMOMETACRESOL
D01AE04	ÁCIDO UNDECILÉNICO
D01AE05	POLINOXYLINA
D01AE06	2-(4-CLORFENOXI)-ETANOL
D01AE07	CLORFENESINA
D01AE08	TICLATONE
D01AE09	SULBENTINA
D01AE10	ETIL HIDROXIBENZOATO
D01AE11	HALOPROGINA
D01AE12	ÁCIDO SALICÍLICO
D01AE13	SULFURO DE SELENIO
D01AE14	CICLOPIROX
D01AE15	TERBINAFINA
D01AE16	AMOROLFINA
D01AE17	DIMAZOL
D01AE18	TOLNAFTATO
D01AE19	TOLCICLATO
D01AE20	COMBINACIONES
D01AE21	FLUCYTOSINA
D01AE22	NAFTIFINA
D01AE23	BUTENAFINA
D01AE54	ÁCIDO UNDECILÉNICO, COMBINACIONES
D01B	ANTIFÚNGICOS PARA USO DERMATOLÓGICO SISTÉMICO
D01BA	ANTIFÚNGICOS PARA USO SISTÉMICO
D01BA01	GRISEOFULVINA
D01BA02	TERBINAFINA
D02	EMOLIENTES Y PROTECTORES
D02A	EMOLIENTES Y PROTECTORES
D02AA	PRODUCTOS CON SILICONAS
D02AB	PRODUCTOS CON ZINC
D02AC	PARAFINA BLANDA Y PRODUCTOS CON GRASA
D02AD	EMPLASTOS LÍQUIDOS
D02AE	PRODUCTOS CON CARBAMIDA
D02AE01	CARBAMIDA
D02AE51	CARBAMIDA, COMBINACIONES
D02AF	PREPARADOS CON ÁCIDO SALICÍLICO
D02AX	OTROS EMOLIENTES Y PROTECTORES
D02B	PROTECTORES CONTRA LA RADIACIÓN ULTRAVIOLETA
D02BA	PROTECTORES CONTRA LA RADIACIÓN UV PARA USO TÓPICO
D02BA01	ÁCIDO AMINOBENZÓICO
D02BA02	OCTINOXATO
D02BB	PROTECTORES CONTRA LA RADIACIÓN UV PARA USO SISTÉMICO
D02BB01	BETACAROTENO
D03	PREPARADOS PARA EL TRATAMIENTO DE HERIDAS Y ÚLCERAS
D03A	CICATRIZANTES
D03AA	UNGÜENTOS CON ACEITE DE HÍGADO DE BACALAO
D03AX	OTROS CICATRIZANTES
D03AX01	CADEXÓMERO IODADO
D03AX02	DEXTRANÓMERO
D03AX03	DEXPANTENOL
D03AX04	PANTOTENATO CÁLCICO
D03AX05	ÁCIDO HIALURÓNICO
D03AX06	BECAPLERMINA
D03AX09	CRILANOMERO
D03AX10	ENOXOLONA
D03B	ENZIMAS
D03BA	ENZIMAS PROTEOLÍTICAS
D03BA01	TRIPSINA
D03BA02	CLOSTRIDIOPEPTIDASA
D03BA52	CLOSTRIDIOPEPTIDASA, COMBINACIONES
D04	ANTIPRURIGINOSOS INCL
D04A	ANTIPRURIGINOSOS, INCL ANTIHISTAMÍNICOS, ANESTÉSICOS, ETC
D04AA	ANTIHISTAMÍNICOS PARA USO TÓPICO
D04AA01	TONZILAMINA
D04AA02	MEPIRAMINA
D04AA03	TENALIDINA
D04AA04	TRIPELENAMINA
D04AA09	CLOROPIRAMINA
D04AA10	PROMETAZINA
D04AA12	TOLPROPAMINA
D04AA13	DIMETINDENO
D04AA14	CLEMASTINA
D04AA15	BAMIPINA
D04AA22	ISOTIPENDIL
D04AA32	DIFENHIDRAMINA
D04AA33	DIFENHIDRAMINA, METILBROMURO
D04AA34	CLORFENOXAMINA
D04AB	ANESTÉSICOS PARA USO TÓPICO
D04AB01	LIDOCAÍNA
D04AB02	CINCOCAINA
D04AB03	OXIBUPROCAINA
D04AB04	BENZOCAÍNA
D04AB05	QUINISOCAINA
D04AB06	TETRACAINA
D04AB07	PRAMOCAINA
D04AX	OTROS ANTIPRURIGINOSOS
D05	ANTIPSORIÁSICOS
D05A	ANTIPSORIÁSICOS PARA USO TÓPICO
D05AA	ALQUITRANES
D05AC	DERIVADOS DEL ANTRACENO
D05AC01	DITRANOL
D05AC51	DITRANOL, COMBINACIONES
D05AD	PSORALENOS PARA USO TÓPICO
D05AD01	TRIOXISALEN
D05AD02	METOXSALEN
D05AX	OTROS ANTIPSORIÁSICOS PARA USO TÓPICO
D05AX01	ÁCIDO FUMÁRICO
D05AX02	CALCIPOTRIOL
D05AX03	CALCITRIOL
D05AX04	TACALCITOL
D05AX05	TAZAROTENE
D05AX52	CALCIPOTRIOL, COMBINACIONES
D05B	ANTIPSORIÁSICOS PARA USO SISTÉMICO
D05BA	PSORALENOS PARA USO SISTÉMICO
D05BA01	TRIOXISALEN
D05BA02	METOXSALEN
D05BA03	BERGAPTEN
D05BB	RETINOIDES PARA EL TRATAMIENTO DE LA PSORIASIS
D05BB01	ETRETINATO
D05BB02	ACITRETINOÍNA
D05BX	OTROS ANTIPSORIÁSICOS PARA USO SISTÉMICO
D05BX51	COMBINACIONES DE LOS DERIVADOS DEL ÁCIDO FUMÁRICO
D06	ANTIBIÓTICOS Y QUIMIOTERÁPICOS PARA USO DERMATOLÓGICO
D06A	ANTIBIÓTICOS PARA USO TÓPICO
D06AA	TETRACICLINA Y DERIVADOS
D06AA01	DEMECLOCICLINA
D06AA02	CLORTETRACICLINA
D06AA03	OXITETRACICLINA
D06AA04	TETRACICLINA
D06AX	OTROS ANTIBIÓTICOS PARA USO TÓPICO
D06AX01	ÁCIDO FUSÍDICO
D06AX02	CLORANFENICOL
D06AX04	NEOMICINA
D06AX05	BACITRACINA
D06AX07	GENTAMICINA
D06AX08	TIROTRICINA
D06AX09	MUPIROCINA
D06AX10	VIRGINIAMICINA
D06AX11	RIFAXIMINA
D06AX12	AMIKACINA
D06AX13	RETAPAMULINA
D06B	QUIMIOTERÁPICOS PARA USO TÓPICO
D06BA	SULFONAMIDAS
D06BA01	SULFADIAZINA ARGÉNTICA
D06BA02	SULFATIAZOL
D06BA03	MAFENIDA
D06BA04	SULFAMETIZOL
D06BA05	SULFANILAMIDA
D06BA06	SULFAMERAZINA
D06BA51	SULFADIAZINA ARGÉNTICA, COMBINACIONES
D06BB	ANTIVIRALES
D06BB01	IDOXIURIDINA
D06BB02	TROMANTADINA
D06BB03	ACICLOVIR
D06BB04	PODOFILINO
D06BB05	INOSINA
D06BB06	PENCICLOVIR
D06BB07	LISOZIMA
D06BB08	IBACITABINA
D06BB09	EDOXUDINA
D06BB10	IMIQUIMOD
D06BB11	DOCOSANOL
D06BX	OTROS QUIMIOTERÁPICOS
D06BX01	METRONIDAZOL
D06C	COMBINACIONES DE ANTIBIÓTICOS Y QUIMIOTERÁPICOS
D07	PREPARADOS DERMATOLÓGICOS CON CORTICOSTEROIDES
D07A	CORTICOESTEROIDES, MONODROGAS
D07AA	CORTICOESTEROIDES DE BAJA POTENCIA (GRUPO I)
D07AA01	METILPREDNISOLONA
D07AA02	HIDROCORTISONA
D07AA03	PREDNISOLONA
D07AB	CORTICOESTEROIDES MODERADAMENTE POTENTES (GRUPO II)
D07AB01	CLOBETASONA
D07AB02	BUTIRATO DE HIDROCORTISONA
D07AB03	FLUMETASONA
D07AB04	FLUOCORTIN
D07AB05	FLUPEROLONA
D07AB06	FLUOROMETOLONA
D07AB07	FLUPREDNIDENO
D07AB08	DESONIDO
D07AB09	TRIAMCINOLONA
D07AB10	ALCLOMETASONA
D07AB11	BUTEPRATO DE HIDROCORTISONA
D07AB19	DEXAMETASONA
D07AB21	CLOCORTOLONA
D07AB30	COMBINACIONES DE CORTICOESTEROIDES
D07AC	CORTICOESTEROIDES POTENTES (GRUPO III)
D07AC01	BETAMETASONA
D07AC02	FLUCLOROLONA
D07AC03	DESOXIMETASONA
D07AC04	ACETÓNIDO DE FLUOCINOLONA
D07AC05	FLUOCORTOLONA
D07AC06	DIFLUCORTOLONA
D07AC07	FLUDROXICORTIDE
D07AC08	FLUOCINONIDO
D07AC09	BUDESONIDA
D07AC10	DIFLORASONA
D07AC11	AMCINONIDO
D07AC12	HALOMETASONA
D07AC13	MOMETASONA
D07AC14	ACEPONATO DE METILPREDNISOLONA
D07AC15	BECLOMETASONA
D07AC16	ACEPONATO DE HIDROCORTISONA
D07AC17	FLUTICASONA
D07AC18	PREDNICARBATO
D07AC19	DIFLUPREDNATO
D07AC21	ULOBETASOL
D07AD	CORTICOESTEROIDES MUY POTENTES (GRUPO IV)
D07AD01	CLOBETASOL
D07AD02	HALCINÓNIDO
D07B	CORTICOESTEROIDES EN COMBINACIÓN CON ANTISÉPTICOS
D07BA	CORTICOESTEROIDES DE BAJA POTENCIA EN COMBINACIÓN CON ANTISÉPTICOS
D07BA01	PREDNISOLONA Y ANTISÉPTICOS
D07BA04	HIDROCORTISONA Y ANTISÉPTICOS
D07BB	CORTICOESTEROIDES MODERADAMENTE POTENTES EN COMBINACIÓN CON ANTISÉPTICOS
D07BB01	FLUMETASONA Y ANTISÉPTICOS
D07BB02	DESÓNIDO Y ANTISÉPTICOS
D07BB03	TRIAMCINOLONA Y ANTISÉPTICOS
D07BB04	BUTIRATO DE HIDROCORTISONA Y ANTISÉPTICOS
