"HBJA003";"Assainissement parodontal par lambeau sur un sextant";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>DEN</regroupment>"
"HBMA001";"Plastie mucogingivale par lambeau déplacé latéralement, coronairement ou apicalement";"";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>DEN</regroupment>"
"HBMD018";"Séance de préparation [mise en condition] tissulaire des surfaces d'appui muqueux d'une prothèse dentaire, sur une arcade";"Non pris en charge";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>DEN</regroupment>"
"HAJA010";"Parage et/ou suture d'une plaie muqueuse intrabuccale";"23,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA007";"Parage et/ou suture de plaies muqueuses intrabuccales multiples";"32,49";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA009";"Parage et/ou suture de plaie de la langue";"28,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA008";"Parage et/ou suture de plaie du voile du palais";"36,51";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA008";"anesthésie";"57,55";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"LCJA004";"Évacuation de collection de la région des muscles masticateurs, par abord intrabuccal";"83,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"LCJA002";"Évacuation de collection de la région des muscles masticateurs, par abord intrabuccal et par abord facial";"83,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"LCJA002";"anesthésie";"85,05";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"LCJA003";"Évacuation de collection périmaxillaire ou périmandibulaire, par abord intrabuccal";"20,90";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA002";"Évacuation de collection pelvilinguale, par abord intrabuccal";"41,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJA002";"anesthésie";"55,35";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAJD004";"Évacuation de collection de la base de la langue";"83,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAJD004";"anesthésie";"58,28";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAPA004";"Marsupialisation d'un kyste du plancher de la bouche";"54,16";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAPD001";"Section de bride muqueuse ou de frein intrabuccal";"20,90";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"HAPA001";"Section de bride muqueuse ou de frein intrabuccal avec plastie par lambeau local";"29,34";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAPA003";"Libération musculaire et muqueuse d'une ankyloglossie";"62,70";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAPA003";"anesthésie";"61,58";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAMA001";"Glossoplastie de réduction";"125,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAMA001";"anesthésie";"104,10";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HADA001";"Labioglossopexie";"141,99";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HADA001";"anesthésie";"121,33";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAMA026";"Pelviglossoplastie";"154,49";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAMA026";"anesthésie";"133,79";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HADA002";"Hyomandibulopexie";"153,15";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HADA002";"anesthésie";"120,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAAA002";"Approfondissement du vestibule oral [sillon gingivojugal] par section mucopériostée";"83,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAAA001";"Approfondissement du vestibule oral [sillon gingivojugal] par section mucopériostée avec greffe cutanée ou muqueuse";"104,61";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAAA003";"Approfondissement du plancher de la bouche par section musculaire";"125,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDAA002";"Véloplastie d'allongement avec lambeau palatin";"233,38";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDAA002";"anesthésie";"118,33";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HDMA010";"Véloplastie secondaire intravélaire";"233,38";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDMA010";"anesthésie";"118,33";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAND002";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par voie buccale sans laser";"22,13";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"HAND004";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par voie buccale avec laser";"22,20";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"HAND001";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de 2 cm à 4 cm de grand axe, par voie buccale sans laser";"29,94";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"HAND006";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de 2 cm à 4 cm de grand axe, par voie buccale avec laser";"30,04";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ATM</regroupment>"
"HAND003";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de plus de 4 cm de grand axe, par voie buccale sans laser";"104,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAND003";"anesthésie";"61,95";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAND005";"Destruction de lésion de la muqueuse de la bouche ou de l'oropharynx de plus de 4 cm de grand axe, par voie buccale avec laser";"104,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAND005";"anesthésie";"61,95";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA015";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de moins de 2 cm de grand axe, par abord intrabuccal";"37,01";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA032";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de 2 cm à 4 cm de grand axe, par abord intrabuccal";"104,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA019";"Exérèse de lésion de la muqueuse de la bouche ou de l'oropharynx de plus de 4 cm de grand axe, par abord intrabuccal";"167,20";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA019";"anesthésie";"106,67";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA021";"Exérèse non transfixiante de lésion infiltrante de la joue, par abord intrabuccal";"125,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA021";"anesthésie";"95,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA022";"Exérèse transfixiante de lésion de la joue, par abord facial";"125,40";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA022";"anesthésie";"127,57";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA034";"Exérèse de kyste du plancher de la bouche, par abord intrabuccal";"83,77";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA034";"anesthésie";"66,72";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA009";"Exérèse de kyste du plancher de la bouche, par abord intrabuccal et par abord facial";"171,38";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA009";"anesthésie";"81,01";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HDFA020";"Uvulectomie";"167,20";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDFA020";"anesthésie";"69,64";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HDFA022";"Uvulovélectomie";"167,20";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDFA022";"anesthésie";"77,34";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HDFA021";"Uvulovélectomie avec palatectomie partielle";"250,80";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HDFA021";"anesthésie";"116,56";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA023";"Glossectomie partielle de langue mobile, par abord intrabuccal";"111,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA023";"anesthésie";"101,17";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA001";"Glossectomie partielle de base, par cervicotomie";"259,58";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA001";"anesthésie";"153,23";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA005";"Exérèse partielle de la base de la langue et/ou du sillon amygdaloglosse, par abord intrabuccal";"182,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA005";"anesthésie";"122,79";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA013";"Glossectomie totale de langue mobile, par abord intrabuccal";"193,49";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA013";"anesthésie";"137,83";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA003";"Glossectomie totale de langue mobile, par abord cervicofacial";"268,07";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA003";"anesthésie";"144,79";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA012";"Glossectomie totale de base";"344,44";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA012";"anesthésie";"204,54";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA029";"Glossectomie totale de base de langue et de langue mobile";"377,48";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA029";"anesthésie";"223,60";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA016";"Glossectomie totale avec pharyngolaryngectomie totale";"690,73";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA016";"anesthésie";"389,01";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA007";"Pelvectomie orale partielle, par abord intrabuccal";"182,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA007";"anesthésie";"122,79";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA006";"Pelviglossectomie de langue mobile, par abord intrabuccal";"206,43";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA006";"anesthésie";"147,36";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA027";"Pelviglossectomie de langue mobile, par abord cervicofacial";"297,10";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA027";"anesthésie";"190,98";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA033";"Pelvimandibulectomie non interruptrice, par abord intrabuccal";"272,15";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA033";"anesthésie";"200,32";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA024";"Pelvimandibulectomie non interruptrice, par abord cervicofacial";"367,72";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA024";"anesthésie";"193,36";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA004";"Pelvimandibulectomie interruptrice, par abord cervicofacial";"464,23";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA004";"anesthésie";"210,70";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA002";"Pelvi-glosso-mandibulectomie non interruptrice, par abord intrabuccal";"288,68";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA002";"anesthésie";"203,63";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA026";"Pelvi-glosso-mandibulectomie non interruptrice, par abord cervicofacial";"367,72";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA026";"anesthésie";"204,72";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HAFA017";"Pelvi-glosso-mandibulectomie interruptrice, par abord cervicofacial";"480,76";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HAFA017";"anesthésie";"230,86";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA018";"Fermeture d'une communication buccosinusienne par lambeau de glissement vestibulojugal, par abord intrabuccal";"146,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA018";"anesthésie";"67,81";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA025";"Fermeture d'une communication buccosinusienne par lambeau de transposition du corps adipeux de la joue, par abord intrabuccal";"146,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA025";"anesthésie";"73,68";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA013";"Fermeture d'une communication buccosinusienne et/ou bucconasale par lambeau palatin, par abord intrabuccal";"146,30";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA013";"anesthésie";"70,38";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA009";"Fermeture d'une communication buccosinusienne et/ou bucconasale par lambeau de muscle temporal, par abord intrabuccal et par abord facial";"219,45";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA009";"anesthésie";"102,27";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA012";"Fermeture d'orostome ou de pharyngostome";"104,50";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA012";"anesthésie";"63,41";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA021";"Fermeture d'une fente labiale supérieure médiane";"261,16";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA021";"anesthésie";"106,68";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA005";"Fermeture d'une fente labiale inférieure médiane";"234,84";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA005";"anesthésie";"106,68";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA015";"Fermeture primaire unilatérale d'une fente labiale sans fente osseuse alvéolomaxillaire, sans réparation complète de la déformation nasale [Chéiloplastie primaire unilatérale pour fente labiale]";"212,22";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA015";"anesthésie";"105,95";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
"HASA023";"Fermeture primaire unilatérale d'une fente labiale sans fente osseuse alvéolomaxillaire, avec réparation complète de la déformation nasale [Chéilorhinoplastie primaire unilatérale pour fente labiale]";"298,06";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>1</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADC</regroupment>"
"HASA023";"anesthésie";"164,97";"<?xml version="1.0" encoding="ISO-8859-1"?><activity>4</activity><phase>0</phase><reimbursment></reimbursment><agreement></agreement><exemption>1</exemption><regroupment>ADA</regroupment>"
