"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"anesthésie";"532,99"
"";"Résection rectocolique totale pour aganglionose congénitale par laparotomie, avec rétablissement de la continuité par laparotomie ou par voie anale";"602,94"
"";"anesthésie";"436,77"
"";"Exérèse de duplication du rectum, par abord transsacrococcygien [de Kraske]";"383,46"
"";"anesthésie";"217,73"
"";"Plicature de la paroi antérieure du rectum, par abord périnéal";"227,19"
"";"anesthésie";"146,14"
"";"Hémostase secondaire à un acte sur le rectum";"50,87"
"";"anesthésie";"55,35"
"";"Injection sclérosante périanale chez l'enfant";"58,69"
"";"Injection sousfissuraire et/ou intrasphinctérienne de l'anus";"18,39"
"";"Dilatation ou incision de sténose anorectale";"66,05"
"";"anesthésie";"54,25"
"";"Suture de plaie de l'anus, sans réparation du muscle sphincter externe de l'anus";"48,81"
"";"Suture de plaie de l'anus, avec réparation du muscle sphincter externe de l'anus";"220,09"
"";"anesthésie";"138,90"
"";"Plastie cutanée de la marge de l'anus";"136,42"
"";"anesthésie";"118,03"
"";"Myorraphie préanale des muscles élévateurs de l'anus";"158,62"
"";"anesthésie";"109,97"
"";"Myorraphie rétroanale des muscles élévateurs de l'anus";"168,49"
"";"anesthésie";"117,30"
"";"Myorraphie préanale et rétroanale des muscles élévateurs de l'anus";"200,57"
"";"anesthésie";"120,59"
"";"Incision d'abcès de la région anale";"52,25"
"";"anesthésie";"50,95"
"";"Mise à plat d'abcès et/ou de fistule intersphinctérien haut [intramural] de l'anus";"156,56"
"";"anesthésie";"58,65"
"";"Phase 1 : pose de l'anse souple";"181,25"
"";"anesthésie";"67,08"
"";"Phase 2 : séance de traction progressive sur l'anse souple";"28,79"
"";"Mise à plat d'abcès et/ou de fistule haut de l'anus [transsphinctérien supérieur] ou à trajet complexe multiramifié, avec lambeau d'avancement";"181,26"
"";"anesthésie";"66,35"
"";"Mise à plat d'abcès et/ou de fistule bas de l'anus [transsphinctérien inférieur] en un temps, par fistulotomie ou fistulectomie";"135,18"
"";"anesthésie";"56,82"
"";"Mise à plat de fistule basse [transsphinctérienne inférieure] de l'anus avec résection d'un paquet hémorroïdaire isolé";"148,10"
"";"anesthésie";"72,00"
"";"Mise à plat de fistule basse [transsphinctérienne inférieure] de l'anus avec hémorroïdectomie pédiculaire par résection sousmuqueuse";"201,54"
"";"anesthésie";"77,89"
"";"Sphinctérotomie interne [Léiomyotomie] latérale de l'anus";"62,70"
"";"Sphinctéromyectomie de l'anus, par abord anal";"134,90"
"";"anesthésie";"67,44"
"";"Sphinctérotomie, sphinctéromyotomie ou sphinctéromyectomie de l'anus, par abord transsacrococcygien [de Kraske]";"176,01"
"";"anesthésie";"75,14"
"";"Résection d'une fissure anale infectée";"82,26"
"";"anesthésie";"54,98"
"";"Excision d'une fissure anale [Fissurectomie anale]";"62,93"
"";"Excision d'une fissure et/ou d'une sténose anale, avec anoplastie muqueuse";"137,24"
"";"anesthésie";"81,60"
"";"Excision d'une fissure anale, avec anoplastie muqueuse et résection d'un paquet hémorroïdaire isolé";"150,40"
"";"anesthésie";"81,60"
"";"Destruction et/ou exérèse de lésion superficielle non tumorale de l'anus";"38,40"
"";"Destruction d'une papillomatose extensive de l'anus";"57,26"
"";"anesthésie";"54,98"
"";"Destruction et/ou exérèse de tumeur bénigne du canal anal";"41,78"
"";"Exérèse de tumeur maligne du canal anal et/ou de l'anus";"87,84"
"";"anesthésie";"59,39"
"";"Suture du muscle sphincter externe de l'anus [Sphinctérorraphie anale directe] pour incontinence anale";"242,81"
"";"anesthésie";"88,71"
"";"Suture du muscle sphincter externe de l'anus [Sphinctérorraphie anale directe] pour incontinence anale, avec myorraphie des muscles élévateurs de l'anus";"239,11"
"";"anesthésie";"112,90"
"";"Reconstruction du muscle sphincter externe de l'anus par transposition musculaire unilatérale";"371,52"
"";"anesthésie";"114,00"
"";"Reconstruction du muscle sphincter externe de l'anus par transposition musculaire bilatérale";"418,82"
"";"anesthésie";"123,16"
"";"Pose d'un sphincter anal artificiel";"197,69"
"";"anesthésie";"103,64"
"";"Ablation ou changement d'un sphincter anal artificiel";"197,69"
"";"anesthésie";"103,64"
"";"Implantation d'un électrostimulateur du muscle sphincter externe de l'anus ou d'un lambeau de plastie de ce muscle";"Non pris en charge"
"";"anesthésie";""
"";"Changement d'un électrostimulateur du muscle sphincter externe de l'anus ou d'un lambeau de plastie de ce muscle";"Non pris en charge"
"";"anesthésie";""
"";"Abaissement du rectum pour malformation anorectale haute, par laparotomie et par abord périnéal";"546,60"
"";"anesthésie";"370,42"
"";"Abaissement du rectum pour malformation anorectale haute ou intermédiaire, par abord transsacrococcygien [de Kraske] et par abord périnéal";"537,55"
"";"anesthésie";"371,16"
"";"Abaissement du rectum pour malformation anorectale haute ou intermédiaire, par abord périnéal médian";"526,03"
"";"anesthésie";"360,53"
"";"Abaissement du rectum avec cervicocystoplastie, urétroplastie et vaginoplastie pour malformation anorectale haute, par laparotomie et par abord périnéal";"699,57"
"";"anesthésie";"440,44"
"";"Anoplastie pour malformation anorectale basse";"197,69"
"";"anesthésie";"103,64"
"";"Anoplastie pour malformation anorectale basse, avec transposition de l'anus";"354,03"
"";"anesthésie";"234,97"
"";"Transposition postérieure de l'anus";"312,49"
"";"anesthésie";"234,23"
"";"Séance de rééducation anorectale avec rétrocontrôle [biofeedback] manométrique intracavitaire, sans électrostimulation";"33,74"
"";"Séance de rééducation anorectale avec rétrocontrôle [biofeedback] manométrique intracavitaire et électrostimulation";"42,02"
"";"Hémostase secondaire à un acte sur l'anus";"41,80"
"";"anesthésie";"53,52"
"";"Irrigation-drainage d'une fistule d'un viscère abdominal, par 24 heures";"22,65"
"";"Cholécystostomie, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Cholécystostomie cutanée, par laparotomie";"173,15"
"";"anesthésie";"100,07"
"";"Dilatation de conduit biliaire, par un drain transcutané déjà en place avec guidage échographique et/ou radiologique";"209,00"
"";"anesthésie";"125,40"
"";"Dilatation de conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique";"209,00"
"";"anesthésie";"125,40"
"";"Dilatation rétrograde de conduit biliaire, par œso-gastro-duodénoscopie";"340,41"
"";"anesthésie";"149,40"
"";"Dilatation de l'ampoule hépatopancréatique [du sphincter d'Oddi], par œso-gastro-duodénoscopie";"266,13"
"";"anesthésie";"83,94"
"";"Drainage externe d'un conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Drainage externe d'un conduit biliaire avec pose d'une endoprothèse, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Drainage externe de plusieurs conduits biliaires, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Drainage externe de plusieurs conduits biliaires avec pose d'endoprothèse, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Drainage externe de conduit biliaire, par voie transcutanée avec guidage scanographique";"125,40"
"";"Drainage internalisé d'un conduit biliaire, par voie transcutanée avec guidage échographique et/ou radiologique";"209,00"
"";"anesthésie";"125,40"
"";"Drainage internalisé de plusieurs conduits biliaires, par voie transcutanée avec guidage échographique et/ou radiologique";"209,00"
"";"anesthésie";"125,40"
"";"Internalisation secondaire d'un drainage biliaire externe déjà en place";"121,86"
"";"Internalisation secondaire de plusieurs drainages biliaires externes déjà en place";"145,74"
"";"Section du versant biliaire du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi], par œso-gastro-duodénoscopie [Sphinctérotomie biliaire endoscopique]";"313,50"
"";"anesthésie";"149,40"
"";"Pose d'une endoprothèse dans un conduit biliaire préalablement drainé, avec guidage échographique et/ou radiologique";"125,40"
"";"Pose de plusieurs endoprothèses dans des conduits biliaires préalablement drainés, avec guidage échographique et/ou radiologique";"188,10"
"";"Pose d'une endoprothèse biliaire, par œso-gastro-duodénoscopie";"410,70"
"";"anesthésie";"198,55"
"";"Pose de plusieurs endoprothèses biliaires, par œso-gastro-duodénoscopie";"486,06"
"";"anesthésie";"198,55"
"";"Activité 1 : pose d'un fil guide par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"Activité 2 : pose d'une endoprothèse biliaire, par œso-gastro-duodénoscopie";"397,10"
"";"anesthésie";"154,20"
"";"Pose d'endoprothèse biliaire par cholédochotomie, par cœlioscopie";"403,28"
"";"anesthésie";"273,08"
"";"Pose d'endoprothèse biliaire par cholédochotomie, par laparotomie";"374,48"
"";"anesthésie";"249,08"
"";"Changement de drain biliaire, par voie transcutanée avec guidage échographique et/ou radiologique";"57,60"
"";"Ablation ou changement d'endoprothèse biliaire, par voie transcutanée avec guidage échographique et/ou radiologique";"57,60"
"";"Ablation ou changement d'endoprothèse biliaire, par un drain transcutané déjà en place avec guidage échographique et/ou radiologique";"57,60"
"";"Ablation d'endoprothèse biliaire et/ou pancréatique, par œso-gastro-duodénoscopie";"192,00"
"";"anesthésie";"71,48"
"";"Changement d'une endoprothèse biliaire, par œso-gastro-duodénoscopie";"268,80"
"";"anesthésie";"105,84"
"";"Changement de plusieurs endoprothèses biliaires, par œso-gastro-duodénoscopie";"383,39"
"";"anesthésie";"156,75"
"";"Évacuation de collection hépatique, par cœlioscopie";"242,71"
"";"anesthésie";"181,69"
"";"Évacuation de collection hépatique, par laparotomie";"216,35"
"";"anesthésie";"158,99"
"";"Fenestration de kystes biliaires hépatiques, par cœlioscopie";"277,67"
"";"anesthésie";"210,28"
"";"Fenestration de kystes biliaires hépatiques, par laparotomie";"217,97"
"";"anesthésie";"141,49"
"";"Cholécystogastrostomie ou cholécystoduodénostomie, par cœlioscopie";"403,28"
"";"anesthésie";"210,38"
"";"Cholécystogastrostomie ou cholécystoduodénostomie, par laparotomie";"374,48"
"";"anesthésie";"186,38"
"";"Cholécystogastrostomie ou cholécystoduodénostomie avec gastrojéjunostomie, par laparotomie";"374,48"
"";"anesthésie";"194,48"
"";"Cholécystoduodénostomie pour atrésie des conduits biliaires extrahépatiques, par laparotomie";"435,27"
"";"anesthésie";"300,87"
"";"Cholécystojéjunostomie, par laparotomie";"374,48"
"";"anesthésie";"187,88"
"";"Cholédochoduodénostomie, par cœlioscopie";"441,61"
"";"anesthésie";"210,38"
"";"Cholédochoduodénostomie, par laparotomie";"374,48"
"";"anesthésie";"188,25"
"";"Cholédochoduodénostomie avec gastrojéjunostomie, par cœlioscopie";"507,78"
"";"anesthésie";"322,61"
"";"Cholédochoduodénostomie avec gastrojéjunostomie, par laparotomie";"478,98"
"";"anesthésie";"280,43"
"";"Cholédochojéjunostomie, par cœlioscopie";"468,52"
"";"anesthésie";"225,44"
"";"Cholédochojéjunostomie, par laparotomie";"423,94"
"";"anesthésie";"197,40"
"";"Anastomose biliodigestive portant sur la convergence des conduits hépatiques, par laparotomie";"624,20"
"";"anesthésie";"332,68"
"";"Anastomose biliodigestive au-dessus de la convergence portant sur plusieurs conduits biliaires, par laparotomie";"744,28"
"";"anesthésie";"332,68"
"";"Anastomose biliodigestive intrahépatique portant sur un conduit biliaire segmentaire, par laparotomie";"650,11"
"";"anesthésie";"332,68"
"";"Ablation de calcul des voies biliaires, par voie transcutanée avec guidage échographique et/ou radiologique";"20,90"
"";"Ablation de calcul de la voie biliaire principale, par œso-gastro-duodénoscopie";"330,20"
"";"anesthésie";"149,40"
"";"Activité 1 : pose du fil guide, par voie transcutanée avec guidage échographique et/ou radiologique";"125,40"
"";"anesthésie";"154,20"
"";"Ablation de calcul de la voie biliaire principale par cholédochotomie, par cœlioscopie";"405,00"
"";"anesthésie";"273,08"
"";"Ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie";"374,48"
"";"anesthésie";"249,08"
"";"Lithotritie extracorporelle des conduits biliaires";"259,06"
"";"anesthésie";"125,40"
"";"Lithotritie mécanique des conduits biliaires, par œso-gastro-duodénoscopie";"346,09"
"";"anesthésie";"149,40"
"";"Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie rétrograde";"479,96"
"";"anesthésie";"149,40"
"";"Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie par un drain transcutané déjà en place";"383,85"
"";"anesthésie";"125,40"
"";"Lithotritie des conduits biliaires par ondes de choc, par cholangioscopie par voie transcutanée";"383,85"
"";"anesthésie";"132,22"
"";"Cholécystectomie, par cœlioscopie";"272,29"
"";"anesthésie";"147,24"
"";"Cholécystectomie, par laparotomie";"251,32"
"";"anesthésie";"134,42"
"";"Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par cœlioscopie";"323,28"
"";"anesthésie";"152,00"
"";"Cholécystectomie avec ablation transcystique de calcul de la voie biliaire principale, par laparotomie";"269,82"
"";"anesthésie";"137,72"
"";"Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par cœlioscopie";"442,84"
"";"anesthésie";"273,08"
"";"Cholécystectomie par cœlioscopie, avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie";"412,24"
"";"anesthésie";"249,08"
"";"Cholécystectomie avec ablation de calcul de la voie biliaire principale par cholédochotomie, par laparotomie";"378,10"
"";"anesthésie";"249,08"
"";"Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par cœlioscopie";"499,88"
"";"anesthésie";"259,53"
"";"Cholécystectomie par cœlioscopie, avec cholédochoduodénostomie par laparotomie";"499,88"
"";"anesthésie";"259,53"
"";"Cholécystectomie avec cholédochogastrostomie ou cholédochoduodénostomie, par laparotomie";"499,88"
"";"anesthésie";"243,86"
"";"Cholécystectomie avec cholédochojéjunostomie, par cœlioscopie";"575,71"
"";"anesthésie";"265,88"
"";"Cholécystectomie par cœlioscopie, avec cholédochojéjunostomie par laparotomie";"555,56"
"";"anesthésie";"256,03"
"";"Cholécystectomie avec cholédochojéjunostomie, par laparotomie";"543,40"
"";"anesthésie";"245,58"
"";"Résection de la voie biliaire principale pédiculaire avec anastomose biliodigestive, par laparotomie";"675,61"
"";"anesthésie";"332,68"
"";"Résection de la voie biliaire principale pédiculaire et intrapancréatique avec anastomose biliodigestive, par laparotomie";"774,71"
"";"anesthésie";"332,68"
"";"Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage échographique";"76,80"
"";"Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage scanographique";"76,80"
"";"Destruction de tumeur hépatique par radiofréquence, par voie transcutanée avec guidage remnographique [IRM]";"Non pris en charge"
"";"Destruction de tumeur hépatique avec courant de radiofréquence, par cœlioscopie";"304,15"
"";"anesthésie";"176,96"
"";"Destruction de tumeur hépatique avec courant de radiofréquence, par laparotomie";"291,21"
"";"anesthésie";"189,60"
"";"Séquestrectomie hépatique, par laparotomie";"405,99"
"";"anesthésie";"270,42"
"";"Kystectomie ou périkystectomie hépatique, par laparotomie";"378,57"
"";"anesthésie";"266,10"
"";"Résection du dôme saillant de kyste hydatique du foie, par laparotomie";"332,52"
"";"anesthésie";"208,91"
"";"Résection atypique du foie, par cœlioscopie";"406,99"
"";"anesthésie";"138,09"
"";"Résection atypique du foie, par laparotomie";"330,33"
"";"anesthésie";"216,91"
"";"Unisegmentectomie hépatique, par cœlioscopie";"406,99"
"";"anesthésie";"138,09"
"";"Unisegmentectomie hépatique, par laparotomie";"330,33"
"";"anesthésie";"216,91"
"";"Résection du lobe caudé [de Spigel] [segment I] du foie, par laparotomie";"598,04"
"";"anesthésie";"371,59"
"";"Bisegmentectomie hépatique, par cœlioscopie";"590,71"
"";"anesthésie";"431,32"
"";"Bisegmentectomie hépatique, par laparotomie";"540,09"
"";"anesthésie";"389,14"
"";"Trisegmentectomie hépatique, par cœlioscopie";"809,88"
"";"anesthésie";"520,76"
"";"Trisegmentectomie hépatique, par laparotomie";"759,26"
"";"anesthésie";"478,58"
"";"Lobectomie hépatique gauche, par cœlioscopie";"765,01"
"";"anesthésie";"547,52"
"";"Lobectomie hépatique gauche, par laparotomie";"626,26"
"";"anesthésie";"400,72"
"";"Hépatectomie gauche, par cœlioscopie";"737,31"
"";"anesthésie";"505,57"
"";"Hépatectomie gauche, par laparotomie";"708,51"
"";"anesthésie";"463,39"
"";"Hépatectomie gauche élargie au lobe caudé [de Spigel] [segment I], par laparotomie";"808,03"
"";"anesthésie";"526,81"
"";"Hépatectomie droite, par laparotomie";"834,75"
"";"anesthésie";"510,32"
"";"Hépatectomie droite élargie au lobe caudé [de Spigel] [segment I], par laparotomie";"940,85"
"";"anesthésie";"617,35"
"";"Lobectomie hépatique droite [Hépatectomie droite élargie au segment IV], par laparotomie";"967,58"
"";"anesthésie";"560,53"
"";"Hépatectomie centrale, par laparotomie";"936,33"
"";"anesthésie";"607,46"
"";"Prélèvement d'un greffon hépatique total, chez un sujet en état de mort encéphalique";""
"";"anesthésie";""
"";"Prélèvement d'un greffon hépatique total chez un sujet en état de mort encéphalique, avec hépatectomie de réduction";""
"";"anesthésie";""
"";"Prélèvement d'un greffon hépatique total chez un sujet en état de mort encéphalique, avec partage du foie";""
"";"anesthésie";""
"";"Prélèvement d'un greffon hépatique, chez un sujet vivant";""
"";"anesthésie";""
"";"Transplantation de foie réduit";""
"";"anesthésie";""
"";"Transplantation de foie total";""
"";"anesthésie";""
"";"Hémostase de lésion du foie, par cœlioscopie";"408,73"
"";"anesthésie";"428,90"
"";"Hémostase de lésion du foie, par laparotomie";"379,93"
"";"anesthésie";"404,91"
"";"Hépato-porto-cholécystostomie ou hépato-porto-entérostomie pour atrésie des conduits biliaires extrahépatiques, par laparotomie";"642,71"
"";"anesthésie";"408,14"
"";"Dilatation du conduit pancréatique, par œso-gastro-duodénoscopie";"365,94"
"";"anesthésie";"149,40"
"";"Pose d'une endoprothèse du conduit pancréatique, par œso-gastro-duodénoscopie";"424,31"
"";"anesthésie";"149,40"
"";"Changement d'une endoprothèse du conduit pancréatique, par œso-gastro-duodénoscopie";"268,80"
"";"anesthésie";"111,44"
"";"Section du versant pancréatique du muscle sphincter de l'ampoule hépatopancréatique [sphincter d'Oddi], par œso-gastro-duodénoscopie [Sphinctérotomie pancréatique endoscopique]";"331,34"
"";"anesthésie";"149,40"
"";"Sphinctérotomie de la papille duodénale mineure [papille accessoire], par œso-gastro-duodénoscopie";"371,04"
"";"anesthésie";"149,40"
"";"Ablation de calcul pancréatique, par œso-gastro-duodénoscopie";"409,05"
"";"anesthésie";"149,40"
"";"Lithotritie extracorporelle du pancréas";"Non pris en charge"
"";"anesthésie";""
"";"Drainage externe de collection pancréatique, par cœlioscopie";"403,28"
"";"anesthésie";"273,08"
"";"Drainage externe de collection pancréatique, par laparotomie";"374,48"
"";"anesthésie";"249,08"
"";"Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par voie transcutanée avec guidage échographique et/ou radiologique [Kystogastrostomie ou kystoduodénostomie transcutanée]";"125,40"
"";"Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par œso-gastro-duodénoscopie sans guidage [Kystogastrostomie ou kystoduodénostomie endoscopique]";"258,30"
"";"anesthésie";"117,12"
"";"Anastomose entre un faux kyste du pancréas et l'estomac ou le duodénum, par œso-gastro-duodénoscopie avec guidage échoendoscopique";"289,39"
"";"anesthésie";"116,93"
"";"Anastomose entre un faux kyste du pancréas et l'estomac [Kystogastrostomie], par cœlioscopie";"403,28"
"";"anesthésie";"273,08"
"";"Anastomose entre un faux kyste du pancréas et l'estomac [Kystogastrostomie], par laparotomie";"374,48"
"";"anesthésie";"249,08"
"";"Anastomose entre un faux kyste du pancréas et le duodénum [Kystoduodénostomie], par laparotomie";"374,48"
"";"anesthésie";"249,08"
"";"Anastomose entre un faux kyste du pancréas et le jéjunum [Kystojéjunostomie], par cœlioscopie";"415,64"
"";"anesthésie";"302,36"
"";"Anastomose entre un faux kyste du pancréas et le jéjunum [Kystojéjunostomie], par laparotomie";"396,20"
"";"anesthésie";"278,36"
"";"Suture de plaie du pancréas avec reconstruction du conduit pancréatique, par laparotomie";"435,68"
"";"anesthésie";"288,63"
"";"Anastomose pancréaticojéjunale, par laparotomie";"427,05"
"";"anesthésie";"278,36"
"";"Anastomose pancréaticojéjunale avec anastomose biliojéjunale, par laparotomie";"635,73"
"";"anesthésie";"390,81"
"";"Anastomose pancréaticojéjunale avec gastrojéjunostomie, par laparotomie";"538,79"
"";"anesthésie";"384,23"
"";"Anastomose pancréaticojéjunale avec anastomose biliojéjunale et gastrojéjunostomie, par laparotomie";"688,92"
"";"anesthésie";"443,23"
"";"Nécrosectomie pancréatique, par cœlioscopie";"406,90"
"";"anesthésie";"331,70"
"";"Nécrosectomie pancréatique, par laparotomie";"378,10"
"";"anesthésie";"307,69"
"";"Exérèse de tumeur du pancréas, par cœlioscopie";"541,12"
"";"anesthésie";"442,40"
"";"Exérèse de tumeur du pancréas, par laparotomie";"452,13"
"";"anesthésie";"356,44"
"";"Pancréatectomie gauche avec conservation de la rate, par cœlioscopie";"564,40"
"";"anesthésie";"343,27"
"";"Pancréatectomie gauche avec conservation de la rate, par laparotomie";"535,60"
"";"anesthésie";"301,09"
"";"Pancréatectomie gauche avec conservation de la rate, avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie";"621,96"
"";"anesthésie";"390,90"
"";"Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par cœlioscopie";"608,28"
"";"anesthésie";"429,33"
"";"Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche], par laparotomie";"540,02"
"";"anesthésie";"355,28"
"";"Pancréatectomie gauche avec splénectomie [Splénopancréatectomie gauche] avec anastomose pancréatojéjunale ou pancréaticojéjunale, par laparotomie";"661,74"
"";"anesthésie";"441,42"
"";"Isthmectomie pancréatique avec rétablissement de continuité du conduit pancréatique, par laparotomie";"575,49"
"";"anesthésie";"384,29"
"";"Pancréatectomie totale ou subtotale avec conservation du duodénum, sans splénectomie, par laparotomie";"521,62"
"";"anesthésie";"378,53"
"";"Pancréatectomie totale ou subtotale avec conservation du duodénum et splénectomie, par laparotomie";"728,36"
"";"anesthésie";"496,78"
"";"Duodénopancréatectomie céphalique, par laparotomie";"1021,74"
"";"anesthésie";"581,75"
"";"Duodénopancréatectomie totale avec splénectomie [Splénopancréatectomie totale], par laparotomie";"1131,02"
"";"anesthésie";"646,21"
"";"Prélèvement d'un greffon pancréatique, chez un sujet en état de mort encéphalique";""
"";"anesthésie";""
"";"Transplantation du pancréas, par laparotomie";"Non pris en charge"
"";"anesthésie";""
"";"Transplantation du pancréas et du rein, par laparotomie";""
"";"anesthésie";""
"";"Transplantation d'îlots pancréatiques, par injection dans la veine porte par voie transcutanée avec guidage radiologique";"Non pris en charge"
"";"Pose d'un cathéter intrapéritonéal par voie transcutanée, avec pose d'un système diffuseur implantable souscutané";"126,14"
"";"Séance d'injection intrapéritonéale d'agent pharmacologique anticancéreux, par voie transcutanée";""
"";"Séance d'administration intrapéritonéale d'agent pharmacologique anticancéreux, par un dispositif implanté";""
"";"Administration intrapéritonéale d'agent pharmacologique anticancéreux avec hyperthermie [Chimiohyperthermie anticancéreuse intrapéritonéale], sous anesthésie générale";"Non pris en charge"
"";"anesthésie";""
"";"Création d'un pneumopéritoine à visée thérapeutique, par voie transcutanée";"34,51"
"";"Pose d'un cathéter intrapéritonéal pour dialyse péritonéale, par voie transcutanée";"73,70"
"";"Pose ou repositionnement d'un cathéter intrapéritonéal pour dialyse péritonéale, par cœlioscopie";"140,91"
"";"anesthésie";"95,11"
"";"Pose ou repositionnement d'un cathéter intrapéritonéal pour dialyse péritonéale, par laparotomie";"112,11"
"";"anesthésie";"71,11"
"";"Désobstruction d'un cathéter de dialyse péritonéale";""
"";"Pelage du manchon externe d'un cathéter de dialyse péritonéale";""
"";"Désenfouissement de l'extrémité souscutanée d'un cathéter de dialyse péritonéale";""
"";"Ablation d'un cathéter de dialyse péritonéale, par cœlioscopie";"133,30"
"";"anesthésie";"86,68"
"";"Ablation d'un cathéter de dialyse péritonéale, par laparotomie";"104,50"
"";"anesthésie";"62,68"
"";"Changement d'un cathéter de dialyse péritonéale, par voie transcutanée";"67,48"
"";"Changement d'un cathéter de dialyse péritonéale, par cœlioscopie";"177,26"
"";"anesthésie";"108,31"
"";"Changement d'un cathéter de dialyse péritonéale, par laparotomie";"148,46"
"";"anesthésie";"84,31"
"";"Pose d'un cathéter intrapéritonéal avec pose d'un système diffuseur implantable souscutané, pour insulinothérapie intrapéritonéale";"127,77"
"";"Libération de l'extrémité distale du cathéter d'un système diffuseur implanté pour insulinothérapie intrapéritonéale, par cœlioscopie";"Non pris en charge"
"";"anesthésie";""
"";"Changement du cathéter intrapéritonéal d'un système diffuseur implanté pour insulinothérapie intrapéritonéale, par laparotomie";"147,10"
"";"anesthésie";"69,65"
"";"Pose d'un ballon intrapéritonéal avant irradiation pelvienne, par laparotomie";"Non pris en charge"
"";"anesthésie";""
"";"Ablation d'un ballon intrapéritonéal, par laparotomie";"Non pris en charge"
"";"anesthésie";""
"";"Évacuation d'un épanchement intrapéritonéal, par voie transcutanée";"19,20"
"";"Évacuation de collection intraabdominale, par cœlioscopie ou par rétropéritonéoscopie";"187,61"
"";"anesthésie";"134,99"
"";"Évacuation de collection intraabdominale, par thoracotomie";"277,67"
"";"anesthésie";"229,00"
"";"Évacuation d'une collection intraabdominale, par laparotomie";"187,24"
"";"anesthésie";"120,13"
"";"Évacuation de plusieurs collections intraabdominales, par laparotomie";"254,24"
"";"anesthésie";"189,77"
"";"Évacuation de collection intraabdominale, par colpotomie";"187,24"
"";"anesthésie";"114,09"
"";"Évacuation de collection intraabdominale, par rectotomie";"187,24"
"";"anesthésie";"114,09"
"";"Dérivation péritonéoveineuse";"313,50"
"";"anesthésie";"158,26"
"";"Sclérose d'un kyste intraabdominal par injection d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique";"Non pris en charge"
"";"Sclérose de plusieurs kystes intraabdominaux par injection d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique";"Non pris en charge"
"";"Sclérose de kyste intraabdominal par injection d'agent pharmacologique, par voie transcutanée avec guidage scanographique";"Non pris en charge"
"";"Sclérose de tumeur intraabdominale par injection intralésionnelle d'agent pharmacologique, par voie transcutanée avec guidage échographique et/ou radiologique";"Non pris en charge"
"";"Sclérose de tumeur intraabdominale par injection intralésionnelle d'agent pharmacologique, par voie transcutanée avec guidage scanographique";"Non pris en charge"
"";"Libération d'adhérences [Adhésiolyse] ni étendues ni serrées du péritoine pelvien pour stérilité chez la femme, par cœlioscopie";"130,19"
"";"anesthésie";"69,65"
"";"Libération d'adhérences [Adhésiolyse] ni étendues ni serrées du péritoine pelvien pour stérilité chez la femme, par laparotomie";"129,38"
"";"anesthésie";"66,72"
"";"Libération d'adhérences [Adhésiolyse] étendues et/ou serrées du péritoine pelvien pour stérilité chez la femme, par cœlioscopie";"238,04"
"";"anesthésie";"114,47"
"";"Libération d'adhérences [Adhésiolyse] étendues et/ou serrées du péritoine pelvien pour stérilité chez la femme, par laparotomie";"225,95"
"";"anesthésie";"89,44"
"";"Section de bride et/ou d'adhérences péritonéales pour occlusion intestinale aigüe, par cœlioscopie";"252,21"
"";"anesthésie";"179,89"
"";"Section de bride et/ou d'adhérences péritonéales pour occlusion intestinale aigüe, par laparotomie";"241,76"
"";"anesthésie";"158,58"
"";"Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe, par cœlioscopie";"317,85"
"";"anesthésie";"252,95"
"";"Libération étendue de l'intestin grêle [Entérolyse étendue] pour occlusion aigüe, par laparotomie";"289,05"
"";"anesthésie";"228,96"
"";"Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par cœlioscopie";"124,57"
"";"anesthésie";"87,61"
"";"Destruction et/ou exérèse de lésion endométriosique superficielle du péritoine, par laparotomie";"130,58"
"";"anesthésie";"85,40"
