"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"J01CR04"	"SULTAMICILLIN"	"SULTAMICILLINE"
"J01CR05"	"PIPERACILLIN AND ENZYME INHIBITOR"	"PIPERACILLINE ET INHIBITEUR D'ENZYME"
"J01CR50"	"COMBINATIONS OF PENICILLINS"	"ASSOCIATIONS DE PENICILLINES"
"J01D"	"OTHER BETA-LACTAM ANTIBACTERIALS"	"AUTRES BETALACTAMINES"
"J01DA"	"CEPHALOSPORINS AND RELATED SUBSTANCES"	"CEPHALOSPORINES ET APPARENTES"
"J01DA01"	"CEFALEXIN"	"CEFALEXINE"
"J01DA02"	"CEFALORIDINE"	"CEFALORIDINE"
"J01DA03"	"CEFALOTIN"	"CEFALOTINE"
"J01DA04"	"CEFAZOLIN"	"CEFAZOLINE"
"J01DA05"	"CEFOXITIN"	"CEFOXITINE"
"J01DA06"	"CEFUROXIME"	"CEFUROXIME"
"J01DA07"	"CEFAMANDOLE"	"CEFAMANDOLE"
"J01DA08"	"CEFACLOR"	"CEFACLOR"
"J01DA09"	"CEFADROXIL"	"CEFADROXIL"
"J01DA10"	"CEFOTAXIME"	"CEFOTAXIME"
"J01DA11"	"CEFTAZIDIME"	"CEFTAZIDIME"
"J01DA12"	"CEFSULODIN"	"CEFSULODINE"
"J01DA13"	"CEFTRIAXONE"	"CEFTRIAXONE"
"J01DA14"	"CEFOTETAN"	"CEFOTETAN"
"J01DA15"	"CEFAZEDONE"	"CEFAZEDONE"
"J01DA16"	"CEFMENOXIME"	"CEFMENOXIME"
"J01DA17"	"CEFONICIDE"	"CEFONICIDE"
"J01DA18"	"LATAMOXEF"	"LATAMOXEF"
"J01DA19"	"CEFOTIAM"	"CEFOTIAM"
"J01DA21"	"CEFATRIZINE"	"CEFATRIZINE"
"J01DA22"	"CEFTIZOXIME"	"CEFTIZOXIME"
"J01DA23"	"CEFIXIME"	"CEFIXIME"
"J01DA24"	"CEFEPIME"	"CEFEPIME"
"J01DA25"	"CEFODIZIME"	"CEFODIZIME"
"J01DA26"	"CEFETAMET"	"CEFETAMET"
"J01DA27"	"CEFPIRAMIDE"	"CEFPIRAMIDE"
"J01DA30"	"CEFAPIRIN"	"CEFAPIRINE"
"J01DA31"	"CEFRADINE"	"CEFRADINE"
"J01DA32"	"CEFOPERAZONE"	"CEFOPERAZONE"
"J01DA33"	"CEFPODOXIME"	"CEFPODOXIME"
"J01DA34"	"CEFACETRILE"	"CEFACETRILE"
"J01DA35"	"CEFROXADINE"	"CEFROXADINE"
"J01DA36"	"CEFTEZOLE"	"CEFTEZOLE"
"J01DA37"	"CEFPIROME"	"CEFPIROME"
"J01DA38"	"LORACARBEF"	"LORACARBEF"
"J01DA39"	"CEFTIBUTEN"	"CEFTIBUTEN"
"J01DA40"	"CEFMETAZOLE"	"CEFMETAZOLE"
"J01DA41"	"CEFPROZIL"	"CEFPROZIL"
"J01DA42"	"CEFDINIR"	"CEFDINIR"
"J01DA63"	"CEFTRIAXONE, COMBINATIONS"	"CEFTRIAXONE EN ASSOCIATION"
"J01DF"	"MONOBACTAMS"	"MONOBACTAMS"
"J01DF01"	"AZTREONAM"	"AZTREONAM"
"J01DH"	"CARBAPENEMS"	"CARBAPENEMS"
"J01DH02"	"MEROPENEM"	"MEROPENEME"
"J01DH03"	"ERTAPENEM"	"ERTAPENEM"
"J01DH51"	"IMIPENEM AND ENZYME INHIBITOR"	"IMIPENEME ET INHIBITEUR D'ENZYME"
"J01E"	"SULFONAMIDES AND TRIMETHOPRIM"	"SULFAMIDES ET TRIMETHOPRIME"
"J01EA"	"TRIMETHOPRIM AND DERIVATIVES"	"TRIMETHOPRIME ET DERIVES"
"J01EA01"	"TRIMETHOPRIM"	"TRIMETHOPRIME"
"J01EA02"	"BRODIMOPRIM"	"BRODIMOPRIME"
"J01EB"	"SHORT-ACTING SULFONAMIDES"	"SULFAMIDES D'ACTION BREVE"
"J01EB01"	"SULFAISODIMIDINE"	"SULFAISODIMIDINE"
"J01EB02"	"SULFAMETHIZOLE"	"SULFAMETHIZOLE"
"J01EB03"	"SULFADIMIDINE"	"SULFADIMIDINE"
"J01EB04"	"SULFAPYRIDINE"	"SULFAPYRIDINE"
"J01EB05"	"SULFAFURAZOLE"	"SULFAFURAZOLE"
"J01EB06"	"SULFANILAMIDE"	"SULFANILAMIDE"
"J01EB07"	"SULFATHIAZOLE"	"SULFATHIAZOLE"
"J01EB08"	"SULFATHIOUREA"	"SULFATHIOUREE"
"J01EB20"	"COMBINATIONS"	"PHENAZOPYRIDINE ET SULFAMIDES"
"J01EC"	"INTERMEDIATE-ACTING SULFONAMIDES"	"SULFAMIDES D'ACTION INTERMEDIAIRE"
"J01EC01"	"SULFAMETHOXAZOLE"	"SULFAMETHOXAZOLE"
"J01EC02"	"SULFADIAZINE"	"SULFADIAZINE"
"J01EC03"	"SULFAMOXOLE"	"SULFAMOXOLE"
"J01EC20"	"COMBINATIONS"	"PHENAZOPYRIDINE ET SULFAMIDES"
"J01ED"	"LONG-ACTING SULFONAMIDES"	"SULFAMIDES D'ACTION LONGUE"
"J01ED01"	"SULFADIMETHOXINE"	"SULFADIMETHOXINE"
"J01ED02"	"SULFALENE"	"SULFALENE"
"J01ED03"	"SULFAMETOMIDINE"	"SULFAMETOMIDINE"
"J01ED04"	"SULFAMETOXYDIAZINE"	"SULFAMETOXYDIAZINE"
"J01ED05"	"SULFAMETHOXYPYRIDAZINE"	"SULFAMETHOXYPYRIDIAZINE"
"J01ED06"	"SULFAPERIN"	"SULFAPERINE"
"J01ED07"	"SULFAMERAZINE"	"SULFAMERAZINE"
"J01ED08"	"SULFAPHENAZOLE"	"SULFAPHENAZOLE"
"J01ED09"	"SULFAMAZON"	"SULFAMAZONE"
"J01ED20"	"COMBINATIONS"	"PHENAZOPYRIDINE ET SULFAMIDES"
"J01EE"	"COMBINATIONS OF SULFONAMIDES AND TRIMETHOPRIM, INCL. DERIVATIVES"	"ASSOCIATION DE SULFAMIDES ET TRIMETHOPRIME, DERIVES INCLUS"
"J01EE01"	"SULFAMETHOXAZOLE AND TRIMETHOPRIM"	"SULFAMETHOXAZOLE ET TRIMETHOPRIME"
"J01EE02"	"SULFADIAZINE AND TRIMETHOPRIM"	"SULFADIAZINE ET TRIMETHOPRIME"
"J01EE03"	"SULFAMETROLE AND TRIMETHOPRIM"	"SULFAMETROLE ET TRIMETHOPRIME"
"J01EE04"	"SULFAMOXOLE AND TRIMETHOPRIM"	"SULFAMOXOLE ET TRIMETHORPIME"
"J01EE05"	"SULFADIMIDINE AND TRIMETHOPRIM"	"SULFADIMIDINE ET TRIMETHOPRIME"
"J01EE06"	"SULFADIAZINE AND TETROXOPRIIM"	"SULFADIAZINE ET TETROXOPRIIME"
"J01F"	"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"	"MACROLIDES, LINCOSAMIDES ET STREPTOGRAMINES"
"J01FA"	"MACROLIDES"	"MACROLIDES"
"J01FA01"	"ERYTHROMYCIN"	"ERYTHROMYCINE"
"J01FA02"	"SPIRAMYCIN"	"SPIRAMYCINE"
"J01FA03"	"MIDECAMYCIN"	"MIDECAMYCINE"
"J01FA05"	"OLEANDOMYCIN"	"OLEANDOMYCINE"
"J01FA06"	"ROXITHROMYCIN"	"ROXITHROMYCINE"
"J01FA07"	"JOSAMYCIN"	"JOSAMYCINE"
"J01FA08"	"TROLEANDOMYCIN"	"TROLEANDOMYCINE"
"J01FA09"	"CLARITHROMYCIN"	"CLARITHROMYCINE"
"J01FA10"	"AZITHROMYCIN"	"AZITROMYCINE"
"J01FA11"	"MIOCAMYCIN"	"MIOCAMYCINE"
"J01FA12"	"ROKITAMYCIN"	"ROKITAMYCINE"
"J01FA13"	"DIRITHROMYCIN"	"DIRITHROMYCINE"
"J01FA14"	"FLURITHROMYCIN"	"FLURITHROMYCINE"
"J01FA15"	"TELITHROMYCIN"	"TELITHROMYCINE"
"J01FF"	"LINCOSAMIDES"	"LINCOSAMIDES"
"J01FF01"	"CLINDAMYCIN"	"CLINDAMYCINE"
"J01FF02"	"LINCOMYCIN"	"LINCOMYCINE"
"J01FG"	"STREPTOGRAMINS"	"STREPTOGRAMINES"
"J01FG01"	"PRISTINAMYCIN"	"PRISTINAMYCINE"
"J01FG02"	"QUNUPRISTIN/DALFOPRISTIN"	"QUNUPRISTINE/DALFOPRISTINE"
"J01G"	"AMINOGLYCOSIDE ANTIBACTERIALS"	"AMINOSIDES ANTIBACTERIENS"
"J01GA"	"STREPTOMYCINS"	"STREPTOMYCINES"
"J01GA01"	"STREPTOMYCIN"	"STREPTOMYCINE"
"J01GA02"	"STREPTODUOCIN"	"STREPTODUOCINE"
"J01GB"	"OTHER AMINOGLYCOSIDES"	"AUTRES AMINOSIDES"
"J01GB01"	"TOBRAMYCIN"	"TOBRAMYCINE"
"J01GB03"	"GENTAMICIN"	"GENTAMICINE"
"J01GB04"	"KANAMYCIN"	"KANAMYCINE"
"J01GB05"	"NEOMYCIN"	"NEOMYCINE"
"J01GB06"	"AMIKACIN"	"AMIKACINE"
"J01GB07"	"NETILMICIN"	"NETILMICINE"
"J01GB08"	"SISOMICIN"	"SISOMICINE"
"J01GB09"	"DIBEKACIN"	"DIBEKACINE"
"J01GB10"	"RIBOSTAMYCIN"	"RIBOSTAMYCINE"
"J01GB11"	"ISEPAMICIN"	"ISEPAMICINE"
"J01M"	"QUINOLONE ANTIBACTERIALS"	"QUINOLONES ANTIBACTERIENNES"
"J01MA"	"FLUOROQUINOLONES"	"FLUOROQUINOLONES"
"J01MA01"	"OFLOXACIN"	"OFLOXACINE"
"J01MA02"	"CIPROFLOXACIN"	"CIPROFLOXACINE"
"J01MA03"	"PEFLOXACIN"	"PEFLOXACINE"
"J01MA04"	"ENOXACIN"	"ENOXACINE"
"J01MA05"	"TEMAFLOXACIN"	"TEMAFLOXACINE"
"J01MA06"	"NORFLOXACIN"	"NORFLOXACINE"
"J01MA07"	"LOMEFLOXACIN"	"LOMEFLOXACINE"
"J01MA08"	"FLEROXACIN"	"FLEROXACINE"
"J01MA09"	"SPARFLOXACIN"	"SPARFLOXACINE"
"J01MA10"	"RUFLOXACIN"	"RUFLOXACINE"
"J01MA11"	"GREPAFLOXACIN"	"GREPAFLOXACINE"
"J01MA12"	"LEVOFLOXACIN"	"LEVOFLOXACINE"
"J01MA13"	"TROVAFLOXACIN"	"TROVAFLOXACINE"
"J01MA14"	"MOXIFLOXACIN"	"MOXIFLOXACINE"
"J01MA15"	"GEMIFLOXACIN"	"GEMIFLOXACINE"
"J01MA16"	"GATIFLOXACIN"	"GATIFLOXACINE"
"J01MB"	"OTHER QUINOLONES"	"AUTRES QUINOLONES"
"J01MB01"	"ROSOXACIN"	"ROSOXACINE"
"J01MB02"	"NALIDIXIC ACID"	"ACIDE NALIDIXIQUE"
"J01MB03"	"PIROMIDIC ACID"	"ACIDE PIROMIDIQUE"
"J01MB04"	"PIPEMIDIC ACID"	"ACIDE PIPEMIDIQUE"
"J01MB05"	"OXOLINIC ACID"	"ACIDE OXOLINIQUE"
"J01MB06"	"CINOXACIN"	"CINOXACINE"
"J01MB07"	"FLUMEQUINE"	"FLUMEQUINE"
"J01R"	"COMBINATIONS OF ANTIBACTERIALS"	"ASSOCIATIONS D'ANTIBACTERIENS"
"J01RA"	"COMBINATIONS OF ANTIBACTERIALS"	"ASSOCIATION D'ANTIBACTERIENS"
"J01RA01"	"PENICILLINS, COMB. WITH OTHER ANTIBACTERIALS"	"PENICILLINES EN ASSOCIATION AVEC D'AUTRES ANTIBACTERIENS"
"J01RA02"	"SULFONAMIDES, COMB. WITH OTHER ANTIBACTERIALS (EXCL. TRIMETHOPRIM)"	"SULFAMIDES EN ASSOCIATION AVEC D'AUTRES ANTIBACTERIENS (SAUF TRIMETHOPRIME)"
"J01RA03"	"CEFUROXIME, COMB. WITH OTHER ANTIBACTERIALS"	"CEFUROXIME EN ASSOCIATION AVEC D'AUTRES ANTIBACTERIENS"
"J01X"	"OTHER ANTIBACTERIALS"	"AUTRES ANTIBACTERIENS"
"J01XA"	"GLYCOPEPTIDE ANTIBACTERIALS"	"GLYCOPEPTIDES ANTIBACTERIENS"
"J01XA01"	"VANCOMYCIN"	"VANCOMYCINE"
"J01XA02"	"TEICOPLANIN"	"TEICOPLANINE"
"J01XB"	"POLYMYXINS"	"POLYMYXINES"
"J01XB01"	"COLISTIN"	"COLISTINE"
"J01XB02"	"POLYMYXIN B"	"POLYMYXINE"
"J01XC"	"STEROID ANTIBACTERIALS"	"ANTIBACTERIENS STEROIDIENS"
"J01XC01"	"FUSIDIC ACID"	"FUSIDIQUE ACIDE"
"J01XD"	"IMIDAZOLE DERIVATIVES"	"DERIVES IMIDAZOLES"
"J01XD01"	"METRONIDAZOLE"	"METRONIDAZOLE"
"J01XD02"	"TINIDAZOLE"	"TINIDAZOLE"
"J01XD03"	"ORNIDAZOLE"	"ORNIDAZOLE"
"J01XE"	"NITROFURAN DERIVATIVES"	"DERIVES DU NITROFURANE"
"J01XE01"	"NITROFURANTOIN"	"NITROFURANTOINE"
"J01XE02"	"NIFURTOINOL"	"NIFURTOINOL"
"J01XX"	"OTHER ANTIBACTERIALS"	"AUTRE ANTIBACTERIEN"
"J01XX01"	"FOSFOMYCIN"	"FOSFOMYCINE"
"J01XX02"	"XIBORNOL"	"XIBORNOL"
"J01XX03"	"CLOFOCTOL"	"CLOFOCTOL"
"J01XX04"	"SPECTINOMYCIN"	"SPECTINOMYCINE"
"J01XX05"	"METHENAMINE"	"METHENAMINE"
"J01XX06"	"MANDELIC ACID"	"ACIDE MANDELIQUE"
"J01XX07"	"NITROXOLINE"	"NITROXOLINE"
"J01XX08"	"LINEZOLID"	"LINEZOLIDE"
"J02"	"ANTIMYCOTICS FOR SYSTEMIC USE"	"ANTIMYCOSIQUES A USAGE SYSTEMIQUE"
"J02A"	"ANTIMYCOTICS FOR SYSTEMIC USE"	"ANTIMYCOSIQUE A USAGE SYSTEMIQUE"
"J02AA"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"J02AA01"	"AMPHOTERICIN B"	"AMPHOTERICINE B"
"J02AA02"	"HACHIMYCIN"	"HACHIMYCINE"
"J02AB"	"IMIDAZOLE DERIVATIVES"	"DERIVES IMIDAZOLES"
"J02AB01"	"MICONAZOLE"	"MICONAZOLE"
"J02AB02"	"KETOCONAZOLE"	"KETOCONAZOLE"
"J02AC"	"TRIAZOLE DERIVATIVES"	"DERIVES TRIAZOLES"
"J02AC01"	"FLUCONAZOLE"	"FLUCONAZOLE"
"J02AC02"	"ITRACONAZOLE"	"ITRACONAZOLE"
"J02AC03"	"VORICONAZOLE"	"VORICONAZOLE"
"J02AX"	"OTHER ANTIMYCOTICS FOR SYSTEMIC USE"	"AUTRES ANTIMYCOSIQUES A USAGE SYSTEMIQUE"
"J02AX01"	"FLUCYTOSINE"	"FLUCYTOSINE"
"J02AX04"	"CASPOFUNGIN"	"CASPOFUNGINE"
"J02AX05"	"MICAFUNGIN"	"MICAFUNGIN"
"J04"	"ANTIMYCOBACTERIALS"	"ANTIMYCOBACTERIENS"
"J04A"	"DRUGS FOR TREATMENT OF TUBERCULOSIS"	"ANTITUBERCULEUX"
"J04AA"	"AMINOSALICYLIC ACID AND DERIVATIVES"	"ACIDE AMINOSALICYLIQUE ET DERIVES"
"J04AA01"	"AMINOSALICYLIC ACID"	"AMINOSALICYLIQUE ACIDE"
"J04AA02"	"SODIUM AMINOSALICYLATE"	"AMINOSALICYLATE SODIQUE"
"J04AA03"	"CALCIUM AMINOSALICYLATE"	"AMINOSALICYLATE CALCIQUE"
"J04AB"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"J04AB01"	"CYCLOSERINE"	"CYCLOSERINE"
"J04AB02"	"RIFAMPICIN"	"RIFAMPICINE"
"J04AB03"	"RIFAMYCIN"	"RIFAMYCINE"
"J04AB04"	"RIFABUTIN"	"RIFABUTINE"
"J04AB05"	"RIFAPENTIN"	"RIFAPENTINE"
"J04AB30"	"CAPREOMYCIN"	"CAPREOMYCINE"
"J04AC"	"HYDRAZIDES"	"HYDRAZIDES"
"J04AC01"	"ISONIAZID"	"ISONIAZIDE"
"J04AC51"	"ISONIAZID, COMBINATIONS"	"ISONIAZIDE EN ASSOCIATION"
"J04AD"	"THIOCARBAMIDE DERIVATIVES"	"DERIVES DU THIOCARBAMIDE"
"J04AD01"	"PROTIONAMIDE"	"PROTIONAMIDE"
"J04AD02"	"TIOCARLIDE"	"TIOCARLIDE"
"J04AD03"	"ETHIONAMIDE"	"ETHIONAMIDE"
"J04AK"	"OTHER DRUGS FOR TREATMENT OF TUBERCULOSIS"	"AUTRES ANTITUBERCULEUX"
"J04AK01"	"PYRAZINAMIDE"	"PYRAZINAMIDE"
"J04AK02"	"ETHAMBUTOL"	"ETHAMBUTOL"
"J04AK03"	"TERIZIDONE"	"TERIZIDONE"
"J04AK04"	"MORINAMIDE"	"MORINAMIDE"
"J04AM"	"COMBINATIONS OF DRUGS FOR TREATMENT OF TUBERCULOSIS"	"ASSOCIATIONS D'ANTITUBERCULEUX"
"J04AM01"	"STREPTOMYCIN AND ISONIAZID"	"STREPTOMYCINE ET ISONIAZIDE"
"J04AM02"	"RIFAMPICIN AND ISONIAZID"	"RIFAMPICINE ET ISONIAZIDE"
"J04AM03"	"ETHAMBUTOL AND ISONIAZID"	"ETHAMBUTOL ET ISONIAZIDE"
"J04AM04"	"THIOACETAZONE AND ISONIAZID"	"THIOACETAZONE ET ISONIAZIDE"
"J04AM05"	"RIFAMPICIN, PYRAZINAMIDE AND ISONIAZID"	"RIFAMPICINE, PYRAZINAMIDE ET ISONIAZIDE"
"J04AM06"	"RIFAMPICIN, PYRAZINAMIDE, ETHAMBUTOL AND ISONIAZID"	"RIFAMPICINE, PYRAZINAMIDE, ETHAMBUTOL ET ISONIAZIDE"
"J04B"	"DRUGS FOR TREATMENT OF LEPRA"	"MEDICAMENTS ANTILEPREUX"
"J04BA"	"DRUGS FOR TREATMENT OF LEPRA"	"ANTILEPREUX"
"J04BA01"	"CLOFAZIMINE"	"CLOFAZIMINE"
"J04BA02"	"DAPSONE"	"DAPSONE"
"J04BA03"	"ALDESULFONE SODIUM"	"ALDESULFONE SODIQUE"
"J05"	"ANTIVIRALS FOR SYSTEMIC USE"	"ANTIVIRAUX A USAGE SYSTEMIQUE"
"J05A"	"DIRECT ACTING ANTIVIRALS"	"ANTIVIRAUX A ACTION DIRECTE"
"J05AA"	"THIOSEMICARBAZONES"	"THIOSEMICARBAZONES"
"J05AA01"	"METISAZONE"	"METISAZONE"
"J05AB"	"NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS"	"NUCLEOSIDES ET NUCLEOTIDES, INHIBITEURS DE LA TRANSCRIPTASE REVERSE EXCLUS"
"J05AB01"	"ACICLOVIR"	"ACICLOVIR"
"J05AB02"	"IDOXURIDINE"	"IDOXURIDINE"
"J05AB03"	"VIDARABINE"	"VIDARABINE"
"J05AB04"	"RIBAVIRIN"	"RIBAVIRINE"
"J05AB06"	"GANCICLOVIR"	"GANCICLOVIR"
"J05AB09"	"FAMCICLOVIR"	"FAMCICLOVIR"
"J05AB11"	"VALACICLOVIR"	"VALACICLOVIR"
"J05AB12"	"CIDOFOVIR"	"CIDOFOVIR"
"J05AB13"	"PENCICLOVIR"	"PENCICLOVIR"
"J05AB14"	"VALGANCICLOVIR"	"VALGANCICLOVIR"
"J05AB54"	"RIBAVIRIN, COMBINATIONS"	"RIBAVIRINE EN ASSOCIATION"
"J05AC"	"CYCLIC AMINES"	"AMINES CYCLIQUES"
"J05AC02"	"RIMANTADINE"	"RIMANTADINE"
"J05AC03"	"TROMANTADINE"	"TROMANTADINE"
"J05AD"	"PHOSPHONIC ACID DERIVATIVES"	"DERIVES DE L'ACIDE PHOSPHONIQUE"
"J05AD01"	"FOSCARNET"	"FOSCARNET"
"J05AD02"	"FOSFONET"	"FOSFONET"
"J05AE"	"PROTEASE INHIBITORS"	"INHIBITEURS DE PROTEASE"
"J05AE01"	"SAQUINAVIR"	"SAQUINAVIR"
"J05AE02"	"INDINAVIR"	"INDINAVIR"
"J05AE03"	"RITONAVIR"	"RITONAVIR"
"J05AE04"	"NELFINAVIR"	"NELFINAVIR"
"J05AE05"	"AMPRENAVIR"	"AMPRENAVIR"
"J05AE06"	"LOPINAVIR"	"LOPINAVIR"
"J05AE07"	"FOSAMPRENAVIR"	"FOSAMPRENAVIR"
"J05AF"	"NUCLEOSIDE AND NUCLEOTIDE REVERSE TRANSCRIPTASE INHIBITORS"	"INHIBITEURS DE LA TRANSCRIPTASE REVERSE NUCLEOSIDIQUES ET NUCLEOTIDIQUES"
"J05AF01"	"ZIDOVUDINE"	"ZIDOVUDINE"
"J05AF02"	"DIDANOSINE"	"DIDANOSINE"
"J05AF03"	"ZALCITABINE"	"ZALCITABINE"
"J05AF04"	"STAVUDINE"	"STAVUDINE"
"J05AF05"	"LAMIVUDINE"	"LAMIVUDINE"
"J05AF06"	"ABACAVIR"	"ABACAVIR"
"J05AF07"	"TENOFOVIR DISOPROXIL"	"TENOFOVIR DISOPROXIL"
"J05AF08"	"ADEFOVIR DIPIVOXIL"	"ADEFOVIR DIPIVOXIL"
"J05AF09"	"EMTRICITABINE"	"EMTRICITABINE"
"J05AF30"	"COMBINATIONS"	"ASSOCIATIONS"
"J05AG"	"NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITORS"	"INHIBITEURS DE LA TRANSCRIPTASE REVERSE NON NUCLEOSIDIQUES"
"J05AG01"	"NEVIRAPINE"	"NEVIRAPINE"
"J05AG02"	"DELAVIRDINE"	"DELAVIRDINE"
"J05AG03"	"EFAVIRENZ"	"EFAVIRENZ"
"J05AH"	"NEURAMINIDASE INHIBITORS"	"INHIBITEURS DE LA NEURAMINIDASE"
"J05AH01"	"ZANAMIVIR"	"ZANAMIVIR"
"J05AH02"	"OSELTAMIVIR"	"OSELTAMIVIR"
"J05AX"	"OTHER ANTIVIRALS"	"AUTRES ANTIVIRAUX"
"J05AX01"	"MOROXYDINE"	"MOROXYDINE"
"J05AX02"	"LYSOZYME"	"LYSOZYME"
"J05AX05"	"INOSINE PRANOBEX"	"INOSINE PRANOBEX"
"J05AX06"	"PLECONARIL"	"PLECONARIL"
"J05AX07"	"ENFUVIRTIDE"	"ENFUVIRTIDE"
"J06"	"IMMUNE SERA AND IMMUNOGLOBULINS"	"IMMUNSERUMS ET IMMUNOGLOBULINES"
"J06A"	"IMMUNE SERA"	"IMMUNSERUMS"
"J06AA"	"IMMUNE SERA"	"IMMUNSERUMS"
"J06AA01"	"DIPHTERIA ANTITOXIN"	"ANTITOXINE DIPHTERIQUE"
"J06AA02"	"TETANUS ANTITOXIN"	"ANTITOXINE TETANIQUE"
"J06AA03"	"SNAKE VENOM ANTISERUM"	"SERUM ANTIVENIMEUX"
"J06AA04"	"BOTULINUM ANTITOXIN"	"ANTITOXINE BOTULIQUE"
"J06AA05"	"GAS-GANGRENE SERA"	"SERUM ANTI-GANGRENE GAZEUSE"
"J06AA06"	"RABIES SERUM"	"SERUM ANTIRABIQUE"
"J06B"	"IMMUNOGLOBULINS"	"IMMUNOGLOBULINES"
"J06BA"	"IMMUNOGLOBULINS, NORMAL HUMAN"	"IMMUNOGLOBULINES HUMAINES POLYVALENTES"
"J06BA01"	"IMMUNOGLOBULINS, NORMAL HUMAN, FOR EXTRAVASCULAR ADM."	"IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADMINISTRATION EXTRAVASCULAIRE"
"J06BA02"	"IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASCULAR ADM."	"IMMUNOGLOBULINES HUMAINES POLYVALENTES, POUR ADMINISTRATION INTRAVASCULAIRE"
"J06BB"	"SPECIFIC IMMUNOGLOBULINS"	"IMMUNOGLOBULINES SPECIFIQUES"
"J06BB01"	"ANTI-D (RH) IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI-D (RH)"
"J06BB02"	"TETANUS IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTITETANIQUE"
"J06BB03"	"VARICELLA/ZOSTER IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI VARICELLE-ZONA"
"J06BB04"	"HEPATITIS B IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI HEPATITE B"
"J06BB05"	"RABIES IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTIRABIQUE"
"J06BB06"	"RUBELLA IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI RUBEOLE"
"J06BB07"	"VACCINIA IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTIVARIOLIQUE"
"J06BB08"	"STAPHYLOCOCCUS IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI STAPHYLOCOQUE"
"J06BB09"	"CYTOMEGALOVIRUS IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI CYTOMEGALOVIRUS"
"J06BB10"	"DIPHTHERIA IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTIDIPHTERIQUE"
"J06BB11"	"HEPATITIS A IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI HEPATITE A"
"J06BB12"	"ENCEPHALITIS, TICK BORNE IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI ENCEPHALITE TRANSMISE PAR LES TIQUES"
"J06BB13"	"PERTUSSIS IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI COQUELUCHE"
"J06BB14"	"MORBILLI IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI ROUGEOLE"
"J06BB15"	"PAROTITIS IMMUNOGLOBULIN"	"IMMUNOGLOBULINE ANTI OREILLONS"
"J06BB16"	"PALIVIZUMAB"	"PALIVIZUMAB"
"J06BB30"	"COMBINATIONS"	"ASSOCIATIONS"
"J06BC"	"OTHER IMMUNOGLOBULINS"	"AUTRES IMMUNOGLOBULINES"
"J06BC01"	"NEBACUMAB"	"NEBACUMAB (CENTOXIN)"
"J07"	"VACCINES"	"VACCINS"
"J07A"	"BACTERIAL VACCINES"	"VACCINS BACTERIENS"
"J07AC"	"ANTHRAX VACCINES"	"VACCINS CONTRE LE CHARBON"
"J07AC01"	"ANTHRAX ANTIGEN"	"ANTIGENE DU CHARBON"
"J07AD"	"BRUCELLOSIS VACCINES"	"VACCINS ANTIBRUCELLIQUES"
"J07AD01"	"BRUCELLA ANTIGEN"	"ANTIGENE BRUCELLIQUE"
"J07AE"	"CHOLERA VACCINES"	"VACCINS ANTICHOLERIQUES"
"J07AE01"	"CHOLERA, INACTIVATED, WHOLE CELL"	"VIBRION CHOLERIQUE INACTIVE ENTIER"
"J07AE02"	"CHOLERA, LIVE ATTENUATED"	"VIBRION CHOLERIQUE VIVANT ATTENUE"
"J07AE51"	"CHOLERA, COMBINATIONS WITH TYPHOID VACCINE, INACTIVATED, WHOLE CELL"	"VIBRION CHOLERIQUE INACTIVE ASSOCIE AU VACCIN CONTRE LA THYPHOIDE"
"J07AF"	"DIPHTHERIA VACCINES"	"VACCINS ANTIDIPHTERIQUES"
"J07AF01"	"DIPHTHERIA TOXOID"	"ANATOXINE DIPHTERIQUE"
"J07AG"	"HEMOPHILUS INFLUENZAE B VACCINES"	"VACCINS ANTIHAEMOPHILUS INFLUENZAE B"
"J07AG01"	"HEMOPHILUS INFLUENZAE B, PURIFIED ANTIGEN CONJUGATED"	"HAEMOPHILUS INFLUENZAE B, ANTIGENE CONJUGUE PURIFIE"
